"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"36","Josh Oliver","MIN","TE","15","2025","14","66.7","-1.3","-4","-2.8","3","0.2","15.0","0.21","3","100.0","21","1.4","33.9","1.50","7.00","7.00","25","8.33","4","1.33","0","0.0","0","0","0","0","3","23.1","1","0.33","1","0.071","0","","3","100.0","1","33.3","0","0","0.0","0","95.8","17.6","0.8","","","100.0","","0.36","0.3","5.1","4.6","0.3","0.33","4.6"
"37","Colston Loveland","CHI","TE","16","2025","18","100.0","5.3","16","6.5","3","0.2","17.6","0.17","3","100.0","21","1.3","11.8","1.17","7.00","7.00","5","1.67","","","0","0.0","0","0","0","0","2","22.2","0","","1","0.056","0","","3","100.0","0","","1","1","100.0","0","95.8","20.0","0.3","","","100.0","","0.28","0.3","5.1","4.2","0.3","0.23","4.2"
"38","Dalton Kincaid","BUF","TE","12","2025","6","100.0","-1.0","-2","-12.5","2","0.2","40.0","0.33","2","100.0","21","1.8","55.3","3.50","10.50","10.50","23","11.50","7","3.50","0","0.0","0","0","0","0","2","66.7","0","","2","0.333","0","","2","100.0","1","50.0","0","0","0.0","0","110.4","50.0","4.7","","","100.0","","0.68","0.3","4.1","2.9","0.2","0.48","2.9"
"39","Charlie Woerner","ATL","TE","17","2025","8","66.7","0.0","0","0.0","2","0.1","16.7","0.25","2","100.0","21","1.2","13.9","2.63","10.50","10.50","21","10.50","19","9.50","0","0.0","0","0","0","0","0","0.0","2","1.00","1","0.125","0","","2","100.0","0","","0","0","0.0","0","110.4","16.7","4.4","","","100.0","","0.51","0.2","4.1","3.1","0.2","0.39","3.1"
"40","Puka Nacua","LA","WR","16","2025","2","100.0","12.0","12","100.0","1","0.1","50.0","0.50","1","100.0","20","1.3","100.0","10.00","20.00","20.00","8","8.00","2","2.00","0","0.0","0","0","0","0","1","100.0","0","","1","0.500","0","","1","100.0","0","","0","0","0.0","0","118.8","100.0","11.0","","","100.0","","1.50","0.2","3.0","1.4","0.1","0.70","1.4"
"41","Adam Trautman","DEN","TE","17","2025","18","60.0","8.5","17","7.5","2","0.1","7.4","0.11","2","100.0","20","1.2","10.0","1.11","10.00","10.00","3","1.50","","","0","0.0","0","0","0","0","2","13.3","0","","2","0.111","0","","2","100.0","0","","1","1","100.0","0","108.3","7.7","2.0","","","100.0","","0.22","0.2","4.0","3.2","0.2","0.18","3.2"
"42","Jaxon Smith-Njigba","SEA","WR","17","2025","1","100.0","8.0","8","100.0","1","0.1","100.0","1.00","1","100.0","20","1.2","100.0","20.00","20.00","20.00","12","12.00","7","7.00","0","0.0","0","0","0","0","0","0.0","0","","1","1.000","0","","1","100.0","0","","0","0","0.0","0","118.8","100.0","12.5","","","100.0","","3.00","0.2","3.0","1.5","0.1","1.47","1.5"
"43","Will Dissly","LAC","TE","9","2025","6","85.7","1.0","2","9.1","2","0.2","33.3","0.33","2","100.0","19","2.1","35.8","3.17","9.50","9.50","17","8.50","4","2.00","0","0.0","1","0","0","0","0","0.0","0","","1","0.167","0","","2","100.0","0","","0","0","0.0","0","106.3","33.3","3.9","","","100.0","","0.65","0.4","3.9","3.1","0.3","0.51","3.1"
"44","Gunnar Helm","TEN","TE","16","2025","20","83.3","8.5","17","11.9","2","0.1","9.1","0.10","2","100.0","19","1.2","14.7","0.95","9.50","9.50","2","1.00","","","0","0.0","0","0","0","0","0","0.0","0","","1","0.050","0","","2","100.0","0","","2","2","100.0","0","106.3","9.5","1.5","","","100.0","","0.20","0.2","3.9","2.5","0.2","0.13","2.5"
"45","Brenden Bates","HST, CLV","TE","9","2025","4","80.0","12.0","12","42.9","1","0.1","20.0","0.25","1","100.0","19","2.1","48.7","4.75","19.00","19.00","7","7.00","3","3.00","0","0.0","0","0","0","0","0","0.0","1","1.00","1","0.250","0","","1","100.0","0","","0","0","0.0","0","118.8","20.0","10.3","","","100.0","","0.73","0.3","2.9","1.4","0.2","0.36","1.4"
"46","Hunter Henry","NE","TE","17","2025","20","83.3","8.7","26","11.5","3","0.2","15.0","0.15","2","66.7","18","1.1","10.5","0.90","6.00","9.00","1","0.50","1","0.50","0","0.0","1","0","0","0","3","23.1","0","","1","0.050","0","","3","100.0","0","","3","2","66.7","0","82.6","15.0","-1.8","","","100.0","","0.19","0.2","3.8","5.8","0.3","0.29","5.8"
