"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"78","Samaje Perine","CIN","RB","15","2025","7","39","2.6","5.57","0","0","3","","0","","0.0","","71.4","28.6","2","0.29","19","2.71","48.7","2.86","7","100.0","39","0","5.57","71.4","0","","0","0","","","0.3","3.9","3.4","0.2"
"79","Antonio Gibson","NE","RB","5","2025","7","24","4.8","3.43","0","0","1","","0","","0.0","","42.9","57.1","0","","16","2.29","66.7","1.14","7","100.0","24","0","3.43","42.9","0","","0","0","","","0.5","2.4","3.6","0.7"
"80","Tahj Brooks","CIN","RB","12","2025","7","20","1.7","2.86","0","0","0","","0","","0.0","","28.6","71.4","2","0.29","17","2.43","85.0","0.43","7","100.0","20","0","2.86","28.6","0","","0","0","","","0.2","2.0","3.3","0.3"
"81","Ty Chandler","MIN","RB","3","2025","6","21","7.0","3.50","0","0","0","","0","","0.0","","33.3","50.0","1","0.17","9","1.50","42.9","2.00","6","100.0","21","0","3.50","33.3","0","","0","0","","","0.7","2.1","3.5","1.2"
"82","Raheim Sanders","CLV","RB","4","2025","6","21","5.3","3.50","1","0","1","","0","","100.0","16.7","50.0","33.3","1","0.17","14","2.33","66.7","1.17","6","100.0","21","1","3.50","50.0","0","","0","0","","","2.0","8.1","6.7","1.7"
"83","Jeremy McNichols","WAS","RB","17","2025","6","17","1.0","2.83","0","0","1","","0","","0.0","","50.0","50.0","1","0.17","9","1.50","52.9","1.33","6","100.0","17","0","2.83","50.0","0","","0","0","","","0.1","1.7","3.0","0.2"
"84","Zamir White","LV","RB","5","2025","5","16","3.2","3.20","0","0","1","","0","","0.0","","20.0","40.0","1","0.20","9","1.80","56.3","1.40","5","100.0","16","0","3.20","20.0","0","","0","0","","","0.3","1.6","2.5","0.5"
"85","Will Shipley","PHI","RB","15","2025","5","16","1.1","3.20","0","0","1","","0","","0.0","","20.0","40.0","0","","7","1.40","43.8","1.80","5","100.0","16","0","3.20","20.0","0","","0","0","","","0.1","1.6","2.4","0.2"
"86","Braelon Allen","NYJ","RB","4","2025","5","10","2.5","2.00","0","0","1","","0","","0.0","","20.0","80.0","0","","9","1.80","90.0","0.20","5","100.0","10","0","2.00","20.0","0","","0","0","","","0.3","1.0","2.5","0.6"
"87","Nate Carter","ATL","RB","4","2025","5","26","6.5","5.20","0","0","2","","0","","0.0","","40.0","60.0","1","0.20","9","1.80","34.6","3.40","5","100.0","26","0","5.20","40.0","0","","0","0","","","0.7","2.6","2.2","0.6"
"88","DJ Giddens","IND","RB","9","2025","5","12","1.3","2.40","0","0","0","","0","","0.0","","40.0","60.0","1","0.20","11","2.20","91.7","0.20","5","100.0","12","0","2.40","40.0","0","","0","0","","","0.1","1.2","2.8","0.3"
"89","Justice Hill","BLT","RB","10","2025","5","73","7.3","14.60","1","0","1","20.0","71","97.3","0.0","20.0","20.0","80.0","1","0.20","9","1.80","12.3","12.80","5","100.0","73","1","14.60","20.0","0","","0","0","","","1.3","13.3","2.4","0.2"
"90","Dameon Pierce","HST, KC","RB","5","2025","4","18","3.6","4.50","0","0","1","","0","","0.0","","50.0","50.0","0","","20","5.00","111.1","-0.50","4","100.0","18","0","4.50","50.0","0","","0","0","","","0.4","1.8","3.4","0.7"
"91","Hassan Haskins","LAC","RB","11","2025","4","10","0.9","2.50","0","0","1","","0","","0.0","","50.0","50.0","1","0.25","8","2.00","80.0","0.50","4","100.0","10","0","2.50","50.0","0","","0","0","","","0.1","1.0","2.0","0.2"
"92","Jerome Ford","CLV","RB","13","2025","4","6","0.5","1.50","0","0","0","","0","","0.0","","","100.0","0","","5","1.25","83.3","0.25","4","100.0","6","0","1.50","","0","","0","0","","","0.0","0.6","1.7","0.1"
"93","Khalil Herbert","NYJ","RB","5","2025","4","12","2.4","3.00","0","0","0","","0","","0.0","","25.0","50.0","0","","6","1.50","50.0","1.50","4","100.0","12","0","3.00","25.0","0","","0","0","","","0.2","1.2","2.1","0.4"
"94","Trey Benson","ARZ","RB","4","2025","4","7","1.8","1.75","0","0","0","","0","","0.0","","","100.0","0","","10","2.50","142.9","-0.75","4","100.0","7","0","1.75","","0","","0","0","","","0.2","0.7","2.3","0.6"
