"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"68","Hassan Haskins","LAC","RB","11","2025","2","4","0.4","2.00","0","0","0","","0","","0.0","","","100.0","0","","3","1.50","75.0","0.50","0","","0","0","","","2","100.0","4","0","2.00","","0.0","0.4","0.9","0.1"
"69","Kendre Miller","NO","RB","7","2025","2","4","0.6","2.00","0","0","0","","0","","0.0","","","100.0","0","","2","1.00","50.0","1.00","0","","0","0","","","2","100.0","4","0","2.00","","0.1","0.4","0.9","0.1"
"70","Trevor Etienne","CAR","RB","17","2025","2","7","0.4","3.50","0","0","0","","0","","0.0","","50.0","50.0","1","0.50","6","3.00","85.7","0.50","0","","0","0","","","2","100.0","7","0","3.50","50.0","0.0","0.7","0.9","0.1"
"71","Kaleb Johnson","PIT","RB","10","2025","2","4","0.4","2.00","0","0","0","","0","","0.0","","","50.0","0","","1","0.50","25.0","1.50","0","","0","0","","","2","100.0","4","0","2.00","","0.0","0.4","0.7","0.1"
"72","DJ Giddens","IND","RB","9","2025","2","7","0.8","3.50","0","0","0","","0","","0.0","","50.0","50.0","0","","5","2.50","71.4","1.00","0","","0","0","","","2","100.0","7","0","3.50","50.0","0.1","0.7","1.1","0.1"
"73","Kyren Williams","LA","RB","17","2025","2","1","0.1","0.50","1","0","1","","0","","100.0","50.0","50.0","50.0","1","0.50","2","1.00","200.0","-0.50","0","","0","0","","","2","100.0","1","1","0.50","50.0","0.4","6.1","3.8","0.2"
"74","Terrell Jennings","NE","RB","6","2025","2","2","0.3","1.00","0","0","1","","0","","0.0","","50.0","50.0","0","","2","1.00","100.0","0.00","0","","0","0","","","2","100.0","2","0","1.00","50.0","0.0","0.2","0.8","0.1"
"75","Jawhar Jordan","HST","RB","4","2025","2","12","3.0","6.00","0","0","1","","0","","0.0","","50.0","50.0","0","","8","4.00","66.7","2.00","0","","0","0","","","2","100.0","12","0","6.00","50.0","0.3","1.2","0.8","0.2"
"76","Tyler Allgeier","ATL","RB","17","2025","1","9","0.5","9.00","0","0","0","","0","","0.0","","100.0","","0","","7","7.00","77.8","2.00","0","","0","0","","","1","100.0","9","0","9.00","100.0","0.1","0.9","0.5","0.0"
"77","Tyler Badie","DEN","RB","16","2025","1","1","0.1","1.00","0","0","0","","0","","0.0","","","100.0","0","","2","2.00","200.0","-1.00","0","","0","0","","","1","100.0","1","0","1.00","","0.0","0.1","0.5","0.0"
"78","Najee Harris","LAC","RB","3","2025","1","7","2.3","7.00","0","0","1","","0","","0.0","","100.0","","1","1.00","7","7.00","100.0","0.00","0","","0","0","","","1","100.0","7","0","7.00","100.0","0.2","0.7","2.7","0.9"
"79","Rasheen Ali","BLT","RB","15","2025","1","5","0.3","5.00","0","0","0","","0","","0.0","","100.0","","0","","3","3.00","60.0","2.00","0","","0","0","","","1","100.0","5","0","5.00","100.0","0.0","0.5","0.5","0.0"
"80","D'Ernest Johnson","NE, ARZ","RB","6","2025","1","0","0.0","","0","0","0","","0","","0.0","","","100.0","0","","1","1.00","","-1.00","0","","0","0","","","1","100.0","0","0","","","","0.0","0.5","0.1"
"81","Velus Jones","SEA, NO","RB","6","2025","1","2","0.3","2.00","0","0","0","","0","","0.0","","","100.0","0","","1","1.00","50.0","1.00","0","","0","0","","","1","100.0","2","0","2.00","","0.0","0.2","0.5","0.1"
"82","Travis Homer","CHI","RB","8","2025","1","-2","-0.3","-2.00","0","0","0","","0","","0.0","","","100.0","0","","4","4.00","-200.0","-6.00","0","","0","0","","","1","100.0","-2","0","-2.00","","0.0","-0.2","0.6","0.1"
"83","Dameon Pierce","KC, HST","RB","5","2025","1","1","0.2","1.00","0","0","0","","0","","0.0","","","100.0","0","","1","1.00","100.0","0.00","0","","0","0","","","1","100.0","1","0","1.00","","0.0","0.1","0.5","0.1"
"84","Malik Davis","DAL","RB","10","2025","1","0","0.0","","0","0","0","","0","","0.0","","","100.0","1","1.00","4","4.00","","-4.00","0","","0","0","","","1","100.0","0","0","","","","0.0","1.0","0.1"
"85","Jerome Ford","CLV","RB","13","2025","1","12","0.9","12.00","0","0","1","","0","","0.0","","100.0","","0","","2","2.00","16.7","10.00","0","","0","0","","","1","100.0","12","0","12.00","100.0","0.1","1.2","0.5","0.0"
"86","Isaiah Davis","NYJ","RB","16","2025","1","6","0.4","6.00","0","0","0","","0","","0.0","","100.0","","1","1.00","6","6.00","100.0","0.00","0","","0","0","","","1","100.0","6","0","6.00","100.0","0.0","0.6","0.7","0.0"
"87","Ty Johnson","BUF","RB","17","2025","1","6","0.4","6.00","1","0","1","","0","","0.0","100.0","100.0","","0","","0","","","6.00","0","","0","0","","","1","100.0","6","1","6.00","100.0","0.4","6.6","0.2","0.0"
"88","Miles Sanders","DAL","RB","4","2025","1","49","12.3","49.00","0","0","1","100.0","49","100.0","0.0","","100.0","","0","","11","11.00","22.4","38.00","0","","0","0","","","1","100.0","49","0","49.00","100.0","1.2","4.9","0.6","0.1"
"89","Will Shipley","PHI","RB","15","2025","1","0","0.0","","0","0","0","","0","","0.0","","","100.0","0","","0","","","0.00","0","","0","0","","","1","100.0","0","0","","","","0.0","0.8","0.1"
"90","Cam Akers","MIN, SEA","RB","4","2025","1","0","0.0","","0","0","0","","0","","0.0","","","100.0","0","","1","1.00","","-1.00","0","","0","0","","","1","100.0","0","0","","","","0.0","0.5","0.1"
"91","James Conner","ARZ","RB","3","2025","1","2","0.7","2.00","0","0","0","","0","","0.0","","","100.0","0","","2","2.00","100.0","0.00","0","","0","0","","","1","100.0","2","0","2.00","","0.1","0.2","0.5","0.2"
"92","Justice Hill","BLT","RB","10","2025","1","-15","-1.5","-15.00","0","1","0","","0","","0.0","","","100.0","0","","-9","-9.00","60.0","-6.00","0","","0","0","","","1","100.0","-15","0","-15.00","","-0.2","-1.5","0.6","0.1"
"93","Nick Chubb","HST","RB","15","2025","1","4","0.3","4.00","1","0","1","","0","","33.3","100.0","100.0","","0","","1","1.00","25.0","3.00","0","","0","0","","","1","100.0","4","1","4.00","100.0","0.4","6.4","1.7","0.1"
"94","Austin Ekeler","WAS","RB","2","2025","1","4","2.0","4.00","0","0","1","","0","","0.0","","100.0","","0","","2","2.00","50.0","2.00","0","","0","0","","","1","100.0","4","0","4.00","100.0","0.2","0.4","0.7","0.4"
