"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"78","Dylan Sampson","CLV","RB","15","2025","1","2","0.1","2.00","0","0","0","","0","","0.0","","","100.0","0","","1","1.00","50.0","1.00","0","","0","0","","","1","100.0","2","0","2.00","","0.0","0.2","0.5","0.0"
"79","D'Ernest Johnson","ARZ, NE","RB","6","2025","1","1","0.2","1.00","0","0","0","","0","","100.0","","","100.0","0","","1","1.00","100.0","0.00","0","","0","0","","","1","100.0","1","0","1.00","","0.0","0.1","2.1","0.4"
"80","AJ Dillon","PHI","RB","7","2025","1","3","0.4","3.00","0","0","0","","0","","0.0","","","","0","","2","2.00","66.7","1.00","0","","0","0","","","1","100.0","3","0","3.00","","0.0","0.3","1.2","0.2"
"81","LeQuint Allen","JAX","RB","17","2025","1","0","0.0","","0","0","0","","0","","12.5","","","100.0","0","","0","","","0.00","0","","0","0","","","1","100.0","0","0","","","","0.0","2.1","0.1"
"82","Devin Neal","NO","RB","9","2025","1","2","0.2","2.00","0","0","0","","0","","0.0","","","100.0","0","","1","1.00","50.0","1.00","0","","0","0","","","1","100.0","2","0","2.00","","0.0","0.2","0.4","0.0"
"83","Zavier Scott","MIN","RB","11","2025","1","0","0.0","","0","0","0","","0","","0.0","","","100.0","0","","1","1.00","","-1.00","0","","0","0","","","1","100.0","0","0","","","","0.0","0.5","0.0"
"84","Dameon Pierce","HST, KC","RB","5","2025","1","2","0.4","2.00","0","0","0","","0","","0.0","","","100.0","0","","1","1.00","50.0","1.00","0","","0","0","","","1","100.0","2","0","2.00","","0.0","0.2","0.6","0.1"
"85","Jerome Ford","CLV","RB","13","2025","1","0","0.0","","0","0","0","","0","","0.0","","","100.0","0","","2","2.00","","-2.00","0","","0","0","","","1","100.0","0","0","","","","0.0","0.5","0.0"
"86","Blake Corum","LA","RB","17","2025","1","1","0.1","1.00","0","0","0","","0","","0.0","","","100.0","0","","2","2.00","200.0","-1.00","0","","0","0","","","1","100.0","1","0","1.00","","0.0","0.1","0.5","0.0"
"87","Tyler Goodson","IND","RB","11","2025","1","4","0.4","4.00","0","0","0","","0","","0.0","","100.0","","0","","1","1.00","25.0","3.00","0","","0","0","","","1","100.0","4","0","4.00","100.0","0.0","0.4","0.5","0.0"
