"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"25","Tyler Badie","DEN","RB","16","2025","22","81.5","-0.8","-5","-2.6","6","0.4","25.0","0.27","4","66.7","22","1.4","19.3","1.00","3.67","5.50","34","8.50","3","0.75","0","0.0","0","0","0","0","3","25.0","0","","2","0.091","1","16.7","5","83.3","1","16.7","0","0","0.0","0","72.9","26.1","-2.3","","","","100.0","0.28","0.4","6.2","10.2","0.6","0.46","10.2"
"26","Kyle Monangai","CHI","RB","17","2025","21","77.8","-1.3","-4","-2.0","3","0.2","13.0","0.14","2","66.7","22","1.3","13.8","1.05","7.33","11.00","30","15.00","8","4.00","0","0.0","0","0","0","0","1","9.1","3","1.50","2","0.095","0","","3","100.0","1","33.3","1","0","0.0","0","88.2","14.3","1.4","","","","100.0","0.20","0.2","4.2","4.1","0.2","0.19","4.1"
"27","Kyren Williams","LA","RB","17","2025","33","84.6","-1.3","-8","-2.4","6","0.4","16.7","0.18","4","66.7","21","1.2","5.2","0.64","3.50","5.25","21","5.25","7","1.75","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","1","16.7","5","83.3","0","","0","0","0.0","0","72.2","17.1","-2.7","","","","100.0","0.18","0.4","6.1","9.1","0.5","0.28","9.1"
"28","Kimani Vidal","LAC","RB","13","2025","24","64.9","0.5","1","0.4","2","0.2","7.1","0.08","2","100.0","19","1.5","11.5","0.79","9.50","9.50","18","9.00","11","5.50","0","0.0","1","0","0","0","1","6.7","1","0.50","1","0.042","0","","2","100.0","0","","0","0","0.0","0","106.3","8.7","3.7","","","","100.0","0.16","0.3","3.9","3.4","0.3","0.14","3.4"
"29","Breece Hall","NYJ","RB","16","2025","24","88.9","4.7","14","8.4","3","0.2","14.3","0.13","3","100.0","18","1.1","11.5","0.75","6.00","6.00","4","1.33","1","0.33","0","0.0","0","0","0","0","0","0.0","0","","1","0.042","0","","3","100.0","0","","0","0","0.0","0","91.7","15.8","-1.2","","","","100.0","0.20","0.3","4.8","4.3","0.3","0.18","4.3"
"30","Devin Neal","NO","RB","9","2025","18","90.0","0.0","0","0.0","1","0.1","6.7","0.06","1","100.0","18","2.0","9.8","1.00","18.00","18.00","18","18.00","8","8.00","0","0.0","0","0","0","0","0","0.0","1","1.00","1","0.056","0","","1","100.0","0","","0","0","0.0","0","118.8","7.7","12.2","","","","100.0","0.16","0.3","2.8","1.4","0.2","0.08","1.4"
"31","Travis Etienne","JAX","RB","17","2025","15","83.3","-2.0","-6","-3.9","3","0.2","20.0","0.20","2","66.7","17","1.0","16.8","1.13","5.67","8.50","20","10.00","2","1.00","0","0.0","0","0","0","0","2","16.7","0","","0","0.000","1","33.3","3","100.0","2","66.7","0","0","0.0","0","81.3","20.0","-0.4","","","","100.0","0.25","0.2","3.7","5.7","0.3","0.38","5.7"
"32","Ashton Jeanty","LV","RB","17","2025","24","82.8","-4.8","-24","-18.8","5","0.3","20.8","0.21","5","100.0","17","1.0","14.9","0.71","3.40","3.40","41","8.20","14","2.80","0","0.0","1","0","0","0","2","14.3","2","0.40","1","0.042","0","","5","100.0","2","40.0","0","0","0.0","0","80.8","22.7","-2.0","","","","100.0","0.28","0.4","6.7","8.4","0.5","0.35","8.4"
"33","DeMario Douglas","NE","WR","17","2025","1","100.0","16.0","16","100.0","1","0.1","100.0","1.00","1","100.0","17","1.0","100.0","17.00","17.00","17.00","1","1.00","","","1","100.0","1","0","0","0","1","100.0","0","","1","1.000","0","","1","100.0","0","","0","0","0.0","0","158.3","100.0","6.9","","","","100.0","8.70","0.5","8.7","3.5","0.2","3.55","3.5"
"34","Jonathan Taylor","IND","RB","17","2025","41","87.2","-0.6","-4","-1.0","7","0.4","17.1","0.17","5","71.4","17","1.0","5.2","0.41","2.43","3.40","22","4.40","5","1.00","0","0.0","0","0","0","0","1","3.0","2","0.40","1","0.024","1","14.3","6","85.7","0","","1","1","100.0","0","74.1","17.5","-3.4","","","","100.0","0.16","0.4","6.7","9.7","0.6","0.24","9.7"
"35","Rachaad White","TB","RB","17","2025","22","78.6","0.0","0","0.0","2","0.1","9.1","0.09","2","100.0","17","1.0","7.6","0.77","8.50","8.50","17","8.50","5","2.50","0","0.0","0","0","0","0","1","7.1","1","0.50","1","0.045","0","","2","100.0","1","50.0","0","0","0.0","0","102.1","9.5","2.4","","","","100.0","0.17","0.2","3.7","3.1","0.2","0.14","3.1"
