"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"25","Tyjae Spears","TEN","RB","13","2025","25","75.8","-1.8","-11","-7.8","6","0.5","21.4","0.24","6","100.0","36","2.8","21.4","1.44","6.00","6.00","47","7.83","14","2.33","0","0.0","2","0","0","0","1","5.0","4","0.67","1","0.040","0","","6","100.0","0","","0","0","0.0","0","91.7","22.2","0.1","","","","100.0","0.38","0.7","9.6","10.8","0.8","0.43","10.8"
"26","Aaron Jones","MIN","RB","12","2025","22","68.8","-4.0","-24","-15.1","6","0.5","20.0","0.27","6","100.0","35","2.9","31.8","1.59","5.83","5.83","59","9.83","11","1.83","0","0.0","1","0","0","0","4","19.0","0","","2","0.091","0","","6","100.0","4","66.7","0","0","0.0","0","91.0","21.4","0.4","","","","100.0","0.43","0.8","9.5","8.4","0.7","0.38","8.4"
"27","Zach Charbonnet","SEA","RB","16","2025","33","67.3","1.5","9","2.2","6","0.4","12.5","0.18","4","66.7","35","2.2","8.0","1.06","5.83","8.75","32","8.00","11","2.75","0","0.0","2","0","0","0","2","6.1","0","","2","0.061","1","16.7","5","83.3","1","16.7","0","0","0.0","0","81.9","12.8","-0.3","","","","100.0","0.23","0.5","7.5","9.6","0.6","0.29","9.6"
"28","Quinshon Judkins","CLV","RB","14","2025","21","95.5","0.4","3","4.1","7","0.5","35.0","0.33","6","85.7","35","2.5","24.6","1.67","5.00","5.83","32","5.33","10","1.67","0","0.0","0","0","0","0","2","22.2","0","","1","0.048","0","","6","85.7","2","28.6","1","1","100.0","0","87.5","36.8","-1.2","","","","100.0","0.45","0.7","9.5","10.8","0.8","0.51","10.8"
"29","Tony Pollard","TEN","RB","17","2025","37","68.5","2.3","16","5.6","7","0.4","15.2","0.19","6","85.7","34","2.0","13.0","0.92","4.86","5.67","19","3.17","5","0.83","0","0.0","0","0","0","0","1","4.5","0","","2","0.054","1","14.3","7","100.0","0","","1","1","100.0","0","86.9","17.1","-1.5","","","","100.0","0.25","0.6","9.4","9.5","0.6","0.26","9.5"
"30","Tank Bigsby","JAX, PHI","RB","16","2025","11","68.8","0.0","0","0.0","2","0.1","15.4","0.18","2","100.0","33","2.1","32.7","3.00","16.50","16.50","33","16.50","28","14.00","0","0.0","1","0","0","0","0","0.0","2","1.00","1","0.091","0","","2","100.0","0","","0","0","0.0","0","118.8","15.4","10.7","","","","100.0","0.48","0.3","5.3","3.1","0.2","0.28","3.1"
"31","Tyler Badie","DEN","RB","16","2025","18","85.7","-3.4","-24","-17.3","7","0.4","38.9","0.39","4","57.1","33","2.1","78.6","1.83","4.71","8.25","54","13.50","9","2.25","0","0.0","2","0","0","0","4","36.4","0","","2","0.111","1","14.3","5","71.4","4","57.1","0","0","0.0","0","69.3","41.2","-0.9","","","","100.0","0.41","0.5","7.3","10.3","0.6","0.57","10.3"
"32","Brashard Smith","KC","RB","17","2025","10","83.3","-1.5","-9","-128.6","6","0.4","54.5","0.60","3","50.0","32","1.9","46.4","3.20","5.33","10.67","42","14.00","7","2.33","0","0.0","0","0","0","0","3","37.5","2","0.67","2","0.200","0","","3","50.0","1","16.7","0","0","0.0","0","66.0","54.5","-0.8","","","","100.0","0.62","0.4","6.2","8.6","0.5","0.86","8.6"
"33","Josh Jacobs","GB","RB","15","2025","19","63.3","-3.5","-21","-8.4","6","0.4","21.4","0.32","5","83.3","31","2.1","11.8","1.63","5.17","6.20","47","9.40","10","2.00","0","0.0","0","0","0","0","0","0.0","2","0.40","1","0.053","0","","5","83.3","0","","0","0","0.0","0","88.2","23.1","-0.6","","","","100.0","0.43","0.5","8.1","8.4","0.6","0.44","8.4"
"34","Ashton Jeanty","LV","RB","17","2025","50","76.9","-1.6","-18","-5.4","11","0.6","21.2","0.22","7","63.6","30","1.8","11.8","0.60","2.73","4.29","49","7.00","20","2.86","1","33.3","3","0","0","0","1","2.8","3","0.43","1","0.020","2","18.2","9","81.8","1","9.1","0","0","0.0","0","60.0","21.6","-3.2","","","","100.0","0.32","0.9","16.0","18.1","1.1","0.36","18.1"
