"Player Details","","","","","","Passing","","","","","","","","","","","","","","","Scrambles","","","Passing Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","",""
"Rank","Name","Team","POS","G","Season","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","SCRM","YDS","TD","CPOE","aDOT","AY","Deep Throw %","Deep Throw","YAC %","ADJ CMP %","1Read %","ACC %","CATCH %","OFF %","HERO %","TWT %","EZATT","DROP %","DROP YDS","TTT","TTP","TTSK","TTSC","QB SK","QBP","PRESS %","PRESS SK %","PrROE","CHK %","RPO %","TA","BAT","SPK","FP/DB","FP/OPP","FP/G","FP","OPP"
"11","Bryce Young","CAR","QB","16","2025","75","70","49","70.0","515","32.2","7.36","2","0","23","100.6","1","1.3","9","7.69","4","22","0","7.0","6.5","396","7.1","5","49.7","83.6","48.6","65.7","80.0","5.7","7.1","1.4","1","2.9","22","2.76","2.45","2.3","4.9","0","39","52.0","2.6","16.78","17.1","1.3","7","2","0","0.40","0.40","1.9","29.8","75"
"12","Joe Flacco","CLV, CIN","QB","13","2025","83","82","55","67.1","514","39.5","6.27","1","0","21","88.2","1","1.2","6","6.36","0","0","0","1.1","5.4","398","6.1","5","51.4","79.7","52.4","63.4","78.0","9.8","1.2","3.7","0","4.9","10","2.60","2.55","2.7","","0","26","31.3","3.8","-3.16","23.2","","8","0","0","0.30","0.30","1.9","24.6","83"
"13","Jacoby Brissett","ARZ","QB","14","2025","64","58","45","77.6","485","34.6","8.36","0","1","25","94.3","4","6.3","32","6.58","2","11","0","1.1","4.9","282","1.7","1","60.4","80.7","62.1","70.7","86.2","12.1","3.4","1.7","0","1.7","5","2.72","2.52","3.0","5.8","1","30","46.9","13.3","13.36","15.5","","1","0","0","0.29","0.29","1.3","18.5","64"
"14","Tua Tagovailoa","MIA","QB","14","2025","86","74","57","77.0","465","33.2","6.28","0","0","21","92.5","10","11.6","54","4.89","2","12","0","0.9","4.8","342","9.5","7","64.3","80.3","62.2","62.2","78.4","16.2","1.4","2.7","0","","0","2.49","2.37","3.2","5.0","3","27","31.4","37.0","3.00","8.1","7.0","3","0","0","0.22","0.22","1.3","18.8","86"
"15","Lamar Jackson","BLT","QB","13","2025","76","62","41","66.1","459","35.3","7.40","3","2","17","90.7","8","10.5","43","5.51","6","31","0","3.7","7.3","422","11.3","7","52.5","79.3","48.4","48.4","74.2","17.7","3.2","3.2","1","8.1","22","3.01","2.86","4.5","5.7","5","34","44.7","23.5","10.52","19.4","1.3","3","1","0","0.41","0.41","2.4","31.5","76"
"16","Matthew Stafford","LA","QB","17","2025","54","51","36","70.6","458","26.9","8.98","2","1","16","103.2","3","5.6","8","8.24","0","0","0","0.5","8.4","401","11.8","6","41.7","75.0","58.8","58.8","80.4","9.8","11.8","3.9","1","","0","2.66","2.49","4.5","","0","18","33.3","16.7","-0.58","11.8","","2","1","0","0.47","0.47","1.5","25.3","54"
"17","Daniel Jones","IND","QB","13","2025","54","50","40","80.0","432","33.2","8.64","2","1","20","107.7","2","3.7","15","7.92","2","19","0","7.3","5.8","273","4.0","2","55.6","85.1","66.0","68.0","82.0","12.0","4.0","2.0","0","","0","2.41","2.37","3.3","5.8","1","20","37.0","10.0","7.76","14.0","11.1","2","1","0","0.48","0.48","2.0","26.2","54"
"18","Josh Allen","BUF","QB","17","2025","58","52","41","78.8","430","25.3","8.27","1","0","23","107.5","4","6.9","18","7.71","2","13","0","7.8","6.7","333","7.7","4","62.3","84.0","48.1","71.2","82.7","13.5","","1.9","1","1.9","6","2.87","2.64","3.3","4.7","3","19","32.8","21.1","-2.72","15.4","3.4","2","0","0","0.39","0.39","1.3","22.5","58"
"19","Jordan Love","GB","QB","15","2025","53","47","39","83.0","420","28.0","8.94","0","1","13","95.0","4","7.5","29","6.78","2","9","0","12.5","6.4","288","12.8","6","61.7","88.9","51.1","57.4","87.2","8.5","6.4","2.1","0","2.1","4","2.76","2.55","3.0","5.5","1","24","45.3","16.7","11.93","19.1","5.7","2","0","0","0.30","0.30","1.0","15.7","53"
"20","Geno Smith","LV","QB","15","2025","75","67","46","68.7","406","27.1","6.06","0","8","16","45.0","7","9.3","52","-0.08","1","15","0","-2.2","5.9","374","9.0","6","69.7","75.8","65.7","59.7","71.6","20.9","1.5","11.9","3","1.5","12","2.75","2.45","3.3","7.7","0","24","32.0","29.2","-1.53","11.9","1.3","2","2","0","0.12","0.12","0.6","8.7","75"
"21","Patrick Mahomes","KC","QB","14","2025","39","35","32","91.4","402","28.7","11.49","2","0","18","133.6","2","5.1","9","11.70","2","15","0","16.0","5.7","200","8.6","3","70.6","94.3","65.7","77.1","94.3","5.7","5.7","","1","2.9","21","2.56","2.95","4.0","5.5","1","12","30.8","16.7","0.04","11.4","15.4","0","0","0","0.66","0.66","1.8","25.6","39"
"22","C.J. Stroud","HST","QB","14","2025","61","57","41","71.9","394","28.1","6.91","0","2","13","76.2","1","1.6","9","5.09","3","17","0","3.0","6.6","354","7.0","4","59.6","79.6","52.6","68.4","84.2","10.5","","1.8","0","3.5","43","2.76","2.47","2.7","4.2","0","32","52.5","3.1","17.19","10.5","","3","0","0","0.25","0.25","1.1","15.5","61"
"23","Mac Jones","SF","QB","11","2025","42","40","32","80.0","381","34.6","9.53","1","2","12","93.9","1","2.4","7","7.41","1","3","0","15.7","6.9","249","7.5","3","50.4","91.7","52.5","72.5","82.5","5.0","10.0","5.0","0","2.5","26","2.50","2.21","2.8","3.0","0","9","21.4","11.1","-10.20","15.0","","2","2","0","0.42","0.42","1.6","17.5","42"
"24","Caleb Williams","CHI","QB","17","2025","83","73","41","56.2","380","22.4","5.21","1","1","20","69.4","3","3.6","23","4.37","7","65","0","0.8","7.1","416","5.5","4","46.8","76.3","45.2","45.2","64.4","15.1","","2.7","0","5.5","48","3.13","2.60","3.2","5.4","0","35","42.2","8.6","3.34","13.7","","12","2","0","0.33","0.33","1.6","27.7","83"
"25","Michael Penix","ATL","QB","9","2025","45","42","28","66.7","335","37.2","7.98","0","0","18","90.9","2","4.4","10","7.39","1","15","0","2.8","7.8","298","11.9","5","43.6","76.3","61.9","57.1","73.8","7.1","2.4","","0","2.4","4","2.67","2.77","3.0","4.6","1","16","35.6","12.5","1.84","4.8","2.2","4","0","0","0.31","0.31","1.5","13.9","45"
"26","J.J. McCarthy","MIN","QB","10","2025","50","41","29","70.7","331","33.1","8.07","1","1","13","92.6","6","12.0","33","5.81","3","24","0","5.2","7.7","301","9.8","4","49.8","79.5","58.5","65.9","75.6","17.1","9.8","4.9","1","4.9","32","2.79","2.79","4.4","5.3","1","21","42.0","28.6","10.67","4.9","","0","2","0","0.37","0.37","1.9","18.6","50"
"27","Sam Darnold","SEA","QB","17","2025","50","45","34","75.6","324","19.1","7.20","0","3","17","67.3","3","6.0","24","3.44","2","9","0","5.2","4.8","192","4.4","2","59.0","85.0","44.4","75.6","77.8","11.1","","4.4","0","","0","2.64","2.72","2.6","4.4","1","15","30.0","20.0","-1.99","6.7","4.0","2","3","0","0.20","0.20","0.6","9.9","50"
"28","Joe Burrow","CIN","QB","8","2025","67","56","37","66.1","318","39.8","5.68","1","0","15","86.8","8","11.9","57","4.39","3","16","0","2.7","6.4","321","7.1","4","53.1","80.0","50.0","58.9","82.1","5.4","3.6","1.8","0","5.4","25","2.58","2.32","3.1","4.2","1","21","31.3","38.1","2.51","21.4","","4","2","0","0.27","0.27","2.3","18.3","67"
"29","Kirk Cousins","ATL","QB","10","2025","49","47","35","74.5","313","31.3","6.66","0","2","14","74.2","2","4.1","10","4.35","0","0","0","7.5","5.3","233","6.4","3","53.7","86.4","48.9","61.7","87.2","6.4","2.1","2.1","0","6.4","16","2.52","2.13","3.7","","0","16","32.7","12.5","0.42","12.8","","2","1","0","0.21","0.21","1.1","10.5","49"
"30","Marcus Mariota","WAS","QB","11","2025","36","30","21","70.0","309","28.1","10.30","0","1","12","89.4","0","","0","8.80","6","75","0","15.3","12.3","332","13.3","4","29.8","81.5","66.7","53.3","76.7","13.3","6.7","3.3","0","3.3","5","2.41","2.20","","4.7","0","10","27.8","","1.40","3.3","","3","0","0","0.50","0.50","1.6","17.9","36"
"31","Russell Wilson","NYG","QB","6","2025","39","36","25","69.4","304","50.7","8.44","1","0","11","104.4","1","2.6","5","8.62","2","10","0","9.6","8.8","308","19.4","7","42.1","82.4","50.0","50.0","77.8","13.9","11.1","2.8","3","8.3","17","2.68","2.51","3.3","4.4","0","19","48.7","5.3","15.24","25.0","2.6","1","0","0","0.44","0.44","2.9","17.2","39"
"32","Spencer Rattler","NO","QB","9","2025","53","48","33","68.8","299","33.2","6.23","2","1","14","90.5","4","7.5","24","5.19","1","9","0","4.3","7.2","332","14.6","7","45.5","76.1","56.3","52.1","79.2","16.7","2.1","6.3","2","4.2","26","2.43","2.26","3.6","3.8","2","19","35.8","21.1","6.95","18.8","1.9","2","0","0","0.39","0.39","2.3","20.9","53"
"33","Tyler Shough","NO","QB","11","2025","43","39","29","74.4","283","25.7","7.26","0","0","10","94.3","2","4.7","11","6.63","2","13","0","7.6","6.9","249","10.3","4","44.2","83.3","56.4","53.8","76.9","12.8","5.1","","0","2.6","1","2.64","2.41","3.2","5.6","1","13","30.2","15.4","-2.05","10.3","","2","1","0","0.27","0.27","1.1","11.6","43"
"34","Justin Fields","NYJ","QB","9","2025","63","45","32","71.1","279","31.0","6.20","0","1","7","77.9","10","15.9","80","2.80","8","76","0","0.5","5.8","243","8.9","4","43.0","78.6","46.7","60.0","75.6","13.3","2.2","4.4","0","2.2","5","2.87","2.73","3.6","4.8","4","30","47.6","33.3","19.38","15.6","4.8","1","2","0","0.28","0.28","2.0","17.8","63"
"35","Jaxson Dart","NYG","QB","14","2025","58","50","33","66.0","270","19.3","5.40","1","1","10","77.9","2","3.4","9","4.54","6","34","0","2.1","5.8","268","8.0","4","69.3","80.4","60.0","64.0","80.0","12.0","2.0","6.0","1","8.0","27","2.43","2.52","4.7","4.8","2","21","36.2","9.5","8.56","16.0","1.7","1","3","0","0.30","0.30","1.2","17.2","58"
"36","Brock Purdy","SF","QB","9","2025","29","22","17","77.3","227","25.2","10.32","1","1","12","105.7","1","3.4","1","8.74","6","47","0","10.5","9.0","190","27.3","6","35.7","81.0","59.1","72.7","81.8","13.6","","9.1","0","","0","2.93","2.58","3.9","5.0","1","12","41.4","8.3","10.60","13.6","","0","1","0","0.58","0.58","1.9","16.8","29"
"37","Brady Cook","NYJ","QB","5","2025","36","30","19","63.3","203","40.6","6.77","0","1","9","69.2","6","16.7","35","3.42","0","0","0","8.1","5.5","164","3.3","1","54.2","86.2","66.7","70.0","86.7","10.0","3.3","3.3","0","20.0","14","2.50","2.59","3.9","","0","13","36.1","46.2","8.44","6.7","","0","0","0","0.20","0.20","1.4","7.1","36"
"38","Dillon Gabriel","CLV","QB","10","2025","39","36","25","69.4","196","19.6","5.44","0","1","6","71.1","2","5.1","18","3.50","1","4","0","2.5","4.5","144","5.6","2","69.9","83.9","55.6","61.1","77.8","8.3","","2.8","0","2.8","5","2.59","2.53","4.1","5.7","1","13","33.3","15.4","1.31","16.7","","2","3","0","0.19","0.19","0.7","7.2","39"
"39","Quinn Ewers","MIA","QB","4","2025","18","14","9","64.3","191","47.8","13.64","1","2","6","92.0","3","16.7","25","5.65","1","7","0","-0.9","12.4","173","35.7","5","53.9","64.3","71.4","50.0","71.4","28.6","14.3","21.4","1","","0","2.72","2.45","2.7","3.3","0","10","55.6","30.0","26.76","14.3","","0","0","0","0.57","0.57","2.6","10.3","18"
"40","Jayden Daniels","WAS","QB","7","2025","34","26","20","76.9","188","26.9","7.23","1","1","9","93.1","1","2.9","6","5.81","7","35","0","12.2","5.2","119","3.8","1","50.0","91.3","53.8","61.5","80.8","7.7","","3.8","0","3.8","5","2.73","2.71","2.1","4.8","0","15","44.1","6.7","15.73","19.2","","1","2","0","0.41","0.41","2.0","14.0","34"
"41","Shedeur Sanders","CLV","QB","8","2025","41","32","23","71.9","187","23.4","5.84","1","2","8","70.7","4","9.8","22","2.64","5","44","0","3.7","6.4","191","6.3","2","48.1","80.0","53.1","59.4","78.1","15.6","","9.4","0","3.1","2","2.99","2.76","5.1","4.8","1","22","53.7","18.2","21.14","18.8","","2","0","0","0.34","0.34","1.7","13.9","41"
"42","Jake Browning","CIN","QB","5","2025","33","30","22","73.3","179","35.8","5.97","0","1","6","74.2","3","9.1","24","3.33","0","0","0","-3.0","3.9","108","3.3","1","47.5","78.6","56.7","63.3","80.0","13.3","","","0","","0","2.79","2.32","2.9","","1","17","51.5","17.6","16.78","23.3","","2","0","0","0.19","0.19","1.2","6.2","33"
"43","Carson Wentz","MIN","QB","5","2025","25","19","15","78.9","175","35.0","9.21","1","0","7","122.6","3","12.0","22","7.86","3","13","0","12.2","6.2","113","10.5","2","50.3","88.9","57.9","57.9","89.5","10.5","5.3","5.3","1","5.3","6","2.34","2.44","3.7","5.4","1","12","48.0","25.0","24.90","5.3","8.0","0","0","0","0.49","0.49","2.5","12.3","25"
"44","Kyler Murray","ARZ","QB","5","2025","24","21","14","66.7","103","20.6","4.90","0","0","6","78.1","2","8.3","7","4.17","1","1","0","-3.0","6.6","125","9.5","2","50.5","73.7","47.6","61.9","76.2","14.3","","","1","","0","2.83","2.80","4.8","5.3","0","9","37.5","22.2","3.41","19.0","","2","0","0","0.18","0.18","0.8","4.2","24"
"45","Malik Willis","GB","QB","4","2025","4","4","3","75.0","96","24.0","24.00","1","0","3","156.3","0","","0","29.00","0","0","0","42.0","15.5","62","25.0","1","38.5","100.0","100.0","75.0","100.0","","","","0","25.0","3","2.73","3.00","","","0","1","25.0","","-12.09","","","0","0","0","1.96","1.96","2.0","7.8","4"
"46","Tyrod Taylor","NYJ","QB","6","2025","20","14","8","57.1","67","11.2","4.79","0","0","4","69.6","2","10.0","13","3.38","4","24","0","8.8","7.5","90","7.1","1","37.3","83.3","57.1","57.1","78.6","7.1","7.1","7.1","1","14.3","27","2.69","2.87","4.0","5.1","0","13","65.0","15.4","39.43","","5.0","0","2","0","0.25","0.25","0.8","5.1","20"
"47","Mason Rudolph","PIT","QB","5","2025","10","9","8","88.9","66","13.2","7.33","0","0","3","97.2","1","10.0","4","6.20","0","0","0","12.8","0.8","6","","0","90.9","100.0","44.4","88.9","88.9","","","","0","","0","2.80","3.33","4.0","","1","3","30.0","33.3","-4.54","11.1","10.0","1","0","0","0.26","0.26","0.5","2.6","10"
"48","Max Brosmer","MIN","QB","7","2025","19","18","10","55.6","56","8.0","3.11","0","1","3","38.2","1","5.3","9","0.11","0","0","0","-12.5","3.1","52","","0","103.6","68.8","50.0","33.3","72.2","16.7","","5.6","0","5.6","9","2.40","2.20","2.5","","0","8","42.1","12.5","12.28","22.2","","1","0","0","0.07","0.07","0.2","1.2","19"
"49","Tyler Huntley","BLT","QB","5","2025","14","10","9","90.0","53","10.6","5.30","0","0","2","88.8","3","21.4","18","2.69","1","3","0","14.3","1.8","18","","0","62.3","100.0","70.0","80.0","100.0","","","","0","10.0","-2","2.23","2.46","3.6","5.4","1","5","35.7","60.0","15.32","10.0","","0","0","0","0.17","0.17","0.5","2.4","14"
"50","Davis Mills","HST","QB","6","2025","22","21","10","47.6","45","7.5","2.14","0","0","4","54.3","0","","0","2.14","1","6","0","4.4","6.1","110","9.5","2","35.6","83.3","57.1","47.6","71.4","14.3","","4.8","0","23.8","7","2.66","2.36","","4.7","0","9","40.9","","6.55","19.0","4.5","3","0","0","0.11","0.11","0.4","2.4","22"
"51","Josh Johnson","WAS","QB","5","2025","7","7","6","85.7","40","8.0","5.71","0","0","2","90.5","0","","0","5.71","0","0","0","8.3","5.9","41","14.3","1","60.0","85.7","85.7","71.4","85.7","14.3","","","0","","0","2.34","2.50","","","0","1","14.3","","-16.21","14.3","","0","0","0","0.23","0.23","0.3","1.6","7"
"52","Jameis Winston","NYG","QB","3","2025","4","4","2","50.0","35","11.7","8.75","0","1","2","40.6","0","","0","-2.50","0","0","0","-4.7","17.5","70","25.0","1","22.9","50.0","75.0","25.0","50.0","25.0","","25.0","1","","0","2.58","","","","0","0","","","-34.50","","","0","0","0","0.10","0.10","0.1","0.4","4"
"53","Cooper Rush","BLT","QB","4","2025","5","5","4","80.0","31","7.8","6.20","0","0","1","92.5","0","","0","6.20","0","0","0","14.6","2.2","11","","0","54.8","100.0","60.0","80.0","100.0","","","","0","20.0","-3","2.36","","","","0","0","","","-30.79","40.0","","0","0","0","0.25","0.25","0.3","1.2","5"
"54","Riley Leonard","IND","QB","5","2025","10","10","5","50.0","29","5.8","2.90","0","1","0","16.7","0","","0","-1.60","0","0","0","-15.2","8.0","80","10.0","1","62.1","60.0","50.0","50.0","80.0","20.0","","10.0","0","10.0","4","2.69","2.95","","","0","4","40.0","","3.52","10.0","10.0","0","0","0","0.02","0.02","0.0","0.2","10"
"55","Philip Rivers","IND","QB","3","2025","6","6","5","83.3","28","9.3","4.67","0","0","2","86.1","0","","0","4.67","0","0","0","8.5","-1.2","-7","","0","110.7","100.0","66.7","83.3","100.0","","","","0","16.7","-4","1.88","2.15","","","0","2","33.3","","10.77","33.3","16.7","0","0","0","0.19","0.19","0.4","1.1","6"
"56","Chris Oladokun","KC","QB","3","2025","9","8","6","75.0","28","9.3","3.50","0","0","1","79.2","1","11.1","11","1.89","0","0","0","1.0","","0","","0","96.4","87.5","62.5","75.0","100.0","","","","0","12.5","4","2.68","2.05","5.0","","1","4","44.4","25.0","12.25","25.0","","0","0","0","0.12","0.12","0.4","1.1","9"
"57","Mitchell Trubisky","BUF","QB","4","2025","5","5","3","60.0","26","6.5","5.20","0","0","3","73.8","0","","0","5.20","0","0","0","3.6","8.5","34","","0","30.8","75.0","60.0","20.0","60.0","20.0","","","0","","0","2.98","3.60","","","0","1","20.0","","-21.49","","20.0","1","0","0","0.21","0.21","0.3","1.0","5"
"58","Andy Dalton","CAR","QB","4","2025","6","3","2","66.7","25","6.3","8.33","0","0","1","92.4","2","33.3","8","3.40","1","1","0","-2.5","10.0","30","","0","28.0","66.7","66.7","66.7","66.7","33.3","","","0","","0","2.67","2.78","3.7","5.6","1","5","83.3","40.0","65.29","","","0","0","0","-0.15","-0.15","-0.2","-0.9","6"
"59","Tyson Bagent","CHI","QB","3","2025","2","2","2","100.0","25","8.3","12.50","0","0","1","118.8","0","","0","12.50","0","0","0","9.1","-2.0","-4","","0","116.0","100.0","100.0","100.0","100.0","","","","0","","0","3.15","3.60","","","0","1","50.0","","5.58","","","0","0","0","0.50","0.50","0.3","1.0","2"
"60","Aidan O'Connell","LV","QB","1","2025","5","4","2","50.0","22","22.0","5.50","0","0","1","66.7","1","20.0","5","3.40","0","0","0","7.1","13.3","53","25.0","1","68.2","75.0","75.0","25.0","75.0","25.0","","","1","25.0","5","2.50","2.90","3.9","","1","2","40.0","50.0","13.44","25.0","","0","0","0","0.18","0.18","0.9","0.9","5"
"61","Trey Lance","LAC","QB","4","2025","13","10","4","40.0","21","5.3","2.10","0","1","0","8.3","1","7.7","12","-3.27","2","13","0","-18.4","9.7","97","20.0","2","81.0","55.6","60.0","60.0","60.0","30.0","","","0","10.0","2","2.75","2.46","3.2","7.3","0","8","61.5","12.5","32.68","30.0","","0","0","0","0.09","0.09","0.3","1.1","13"
"62","Kenny Pickett","LV","QB","6","2025","4","4","2","50.0","10","1.7","2.50","0","1","0","16.7","0","","0","-8.75","0","0","0","-36.2","1.3","5","","0","110.0","50.0","75.0","25.0","50.0","50.0","","50.0","0","","0","2.10","","","","0","0","","","-26.31","","","0","0","0","-0.15","-0.15","-0.1","-0.6","4"
"63","Nick Mullens","JAX","QB","5","2025","1","1","1","100.0","8","1.6","8.00","0","0","1","100.0","0","","0","8.00","0","0","0","6.4","-2.0","-2","","0","125.0","100.0","100.0","100.0","100.0","","","","0","","0","0.90","","","","0","0","","","-5.61","","","0","0","0","0.32","0.32","0.1","0.3","1"
"64","Clayton Tune","GB","QB","2","2025","3","2","1","50.0","8","4.0","4.00","0","0","0","60.4","1","33.3","13","-1.67","0","0","0","28.8","8.0","8","","0","","100.0","50.0","","50.0","","","","0","","0","4.35","2.40","2.1","","0","1","33.3","100.0","-10.08","","","1","0","0","0.11","0.11","0.2","0.3","3"
"65","Brandon Allen","TEN","QB","1","2025","3","3","3","100.0","7","7.0","2.33","0","0","0","79.2","0","","0","2.33","0","0","0","12.2","-0.7","-2","","0","128.6","100.0","33.3","33.3","100.0","","","","0","","0","2.43","2.30","","","0","2","66.7","","34.61","33.3","33.3","0","0","0","0.09","0.09","0.3","0.3","3"
"66","Joe Milton","DAL","QB","4","2025","5","4","2","50.0","6","1.5","1.50","0","1","0","16.7","0","","0","-9.75","1","7","0","-14.4","3.3","10","","0","200.0","66.7","75.0","50.0","50.0","25.0","","25.0","1","","0","2.18","2.60","","5.6","0","2","40.0","","17.92","","","1","0","0","-0.21","-0.21","-0.3","-1.1","5"
"67","Zach Wilson","MIA","QB","4","2025","3","2","1","50.0","6","1.5","3.00","0","0","0","56.3","0","","0","3.00","1","3","0","18.1","5.0","5","","0","16.7","100.0","","","50.0","","","","0","","0","2.90","","","5.2","0","0","","","-26.74","","","0","1","0","0.18","0.18","0.1","0.5","3"
"68","Tanner McKee","PHI","QB","4","2025","1","1","1","100.0","4","1.0","4.00","0","0","1","83.3","0","","0","4.00","0","0","0","17.6","4.0","4","","0","","100.0","100.0","100.0","100.0","","","","0","","0","2.50","","","","0","0","","","-33.21","","","0","0","0","0.16","0.16","0.0","0.2","1"
"69","Shane Buechele","KC","QB","1","2025","5","2","1","50.0","2","2.0","1.00","0","0","0","56.3","2","40.0","12","-2.50","1","4","0","12.6","2.0","2","","0","","100.0","","","50.0","","","","0","","0","2.80","2.63","5.7","5.2","1","3","60.0","66.7","44.65","","","0","1","0","0.10","0.10","0.5","0.5","5"
"70","Joshua Dobbs","NE","QB","4","2025","2","1","1","100.0","2","0.5","2.00","0","0","0","79.2","0","","0","2.00","1","2","0","12.6","2.0","2","","0","","100.0","","100.0","100.0","","","","0","","0","3.30","3.60","","7.0","0","1","50.0","","26.50","100.0","","0","0","0","0.14","0.14","0.1","0.3","2"
"71","Teddy Bridgewater","TB","QB","4","2025","1","1","0","","0","0.0","","0","0","0","39.6","0","","0","","0","0","0","-58.4","17.0","17","","0","","","100.0","","","100.0","","","0","","0","2.00","","","","0","0","","","-24.58","","","0","0","0","0.00","0.00","","0.0","1"
"72","Brett Rypien","CIN","QB","1","2025","1","0","0","","0","0.0","","0","0","0","","1","100.0","2","-2.00","0","0","0","","","0","","0","","","","","","","","","0","","0","","2.10","4.1","","1","1","100.0","100.0","100.00","","","0","0","0","0.00","0.00","","0.0","1"
