"Player Details","","","","","","Passing","","","","","","","","","","","","","","","Scrambles","","","Passing Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","",""
"Rank","Name","Team","POS","G","Season","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","SCRM","YDS","TD","CPOE","aDOT","AY","Deep Throw %","Deep Throw","YAC %","ADJ CMP %","1Read %","ACC %","CATCH %","OFF %","HERO %","TWT %","EZATT","DROP %","DROP YDS","TTT","TTP","TTSK","TTSC","QB SK","QBP","PRESS %","PRESS SK %","PrROE","CHK %","RPO %","TA","BAT","SPK","FP/DB","FP/OPP","FP/G","FP","OPP"
"28","J.J. McCarthy","MIN","QB","10","2025","9","9","4","44.4","39","3.9","4.33","1","2","4","54.6","0","","0","-3.44","0","0","0","-16.0","10.9","98","11.1","1","38.5","55.6","88.9","33.3","55.6","33.3","","11.1","2","11.1","8","2.63","2.33","","","0","4","44.4","","8.94","","","0","0","0","0.40","0.40","0.4","3.6","9"
"29","Spencer Rattler","NO","QB","9","2025","9","7","5","71.4","39","4.3","5.57","1","0","3","124.4","0","","0","8.43","2","19","0","13.3","8.9","62","14.3","1","12.8","85.7","100.0","85.7","85.7","14.3","","","0","14.3","1","1.84","1.88","","2.1","0","4","44.4","","27.44","","22.2","0","0","0","0.83","0.83","0.8","7.5","9"
"30","Joe Burrow","CIN","QB","8","2025","9","9","4","44.4","35","4.4","3.89","3","1","4","55.3","0","","0","5.56","0","0","0","-12.0","9.9","69","","0","2.9","57.1","55.6","33.3","55.6","22.2","11.1","11.1","3","","0","2.57","1.88","","","0","6","66.7","","32.31","","","2","0","0","1.38","1.38","1.6","12.4","9"
"31","Michael Penix","ATL","QB","9","2025","13","12","8","66.7","30","3.3","2.50","3","0","5","109.7","1","7.7","15","5.77","0","0","0","-3.1","5.9","65","","0","40.0","72.7","83.3","50.0","66.7","25.0","8.3","8.3","5","","0","2.06","1.85","2.0","","0","4","30.8","25.0","7.15","8.3","","1","0","0","0.94","0.94","1.4","12.2","13"
"32","Tyrod Taylor","NYJ","QB","6","2025","5","5","3","60.0","28","4.7","5.60","1","0","3","115.0","0","","0","9.60","0","0","0","3.1","5.2","26","","0","28.6","80.0","100.0","60.0","80.0","20.0","","","0","20.0","-5","1.90","2.00","","","0","3","60.0","","37.15","","","0","0","0","1.02","1.02","0.9","5.1","5"
"33","Cam Ward","TEN","QB","17","2025","12","9","5","55.6","28","1.6","3.11","1","1","3","58.8","3","25.0","22","-1.58","0","0","0","10.2","6.7","47","11.1","1","42.9","85.7","55.6","11.1","66.7","11.1","","11.1","3","11.1","8","2.49","2.23","3.1","","0","7","58.3","42.9","33.57","","","2","0","0","0.26","0.26","0.2","3.1","12"
"34","Kirk Cousins","ATL","QB","10","2025","10","9","6","66.7","28","2.8","3.11","0","1","3","31.0","1","10.0","8","-2.50","0","0","0","-6.8","2.0","18","","0","67.9","77.8","100.0","55.6","77.8","22.2","","11.1","1","11.1","5","1.61","1.75","2.3","","0","2","20.0","50.0","3.92","","10.0","0","0","0","0.01","0.01","0.0","0.1","10"
"35","C.J. Stroud","HST","QB","14","2025","19","17","6","35.3","27","1.9","1.59","1","0","2","63.6","2","10.5","19","1.47","0","0","0","-34.8","6.6","99","11.8","2","55.6","40.0","70.6","29.4","41.2","47.1","","11.8","1","","0","2.05","1.88","2.3","","0","9","47.4","22.2","24.65","5.9","","1","1","0","0.27","0.27","0.4","5.1","19"
"36","Mason Rudolph","PIT","QB","5","2025","3","3","2","66.7","24","4.8","8.00","1","0","2","130.6","0","","0","14.67","0","0","0","16.0","3.0","6","","0","75.0","100.0","66.7","33.3","66.7","","","","0","","0","3.23","2.60","","","0","1","33.3","","-12.52","","","1","0","0","1.65","1.65","1.0","5.0","3"
"37","Bryce Young","CAR","QB","16","2025","12","10","6","60.0","21","1.3","2.10","3","0","3","104.2","1","8.3","5","6.91","1","4","0","-0.7","10.3","93","30.0","3","19.0","66.7","80.0","50.0","70.0","20.0","10.0","","4","","0","1.97","2.10","2.5","6.7","1","6","50.0","16.7","29.95","","","1","0","0","1.10","1.10","0.8","13.2","12"
