"Team Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","",""
"16","New Orleans Saints","17","2025","New Orleans","Saints","173","14.4","589","41","0.24","25","61.0","324","19.1","1.87","7.90","12.96","65","2.60","15","0.60","4","3","4","2","1","0.04","16","0.092","3","7.3","30","73.2","2","4.9","7","5","71.4","1","98.0","33","80.5","-1.1","100.0","","",""
"17","Miami Dolphins","17","2025","Miami","Dolphins","166","11.8","473","40","0.24","24","60.0","316","18.6","1.90","7.90","13.17","113","4.71","30","1.25","6","10","9","6","4","0.17","18","0.108","2","5.0","28","70.0","3","7.5","9","6","66.7","2","114.2","30","75.0","-0.8","100.0","","",""
"18","Atlanta Falcons","17","2025","Atlanta","Falcons","176","9.5","391","41","0.23","27","65.9","296","17.4","1.68","7.22","10.96","80","2.96","42","1.56","1","3","0","0","3","0.11","15","0.085","2","4.9","33","80.5","1","2.4","10","4","40.0","0","74.8","34","82.9","-0.6","100.0","","",""
"19","Jacksonville Jaguars","17","2025","Jacksonville","Jaguars","181","9.8","421","43","0.24","26","60.5","294","17.3","1.62","6.84","11.31","102","3.92","39","1.50","4","6","5","2","3","0.12","21","0.116","3","7.0","32","74.4","3","7.0","17","11","64.7","1","112.0","37","86.0","-1.1","100.0","","",""
"20","Cincinnati Bengals","17","2025","Cincinnati","Bengals","200","13.2","553","42","0.21","19","45.2","283","16.6","1.42","6.74","14.89","95","5.00","48","2.53","3","8","6","3","4","0.21","16","0.080","5","11.9","26","61.9","0","","11","6","54.5","1","71.8","32","76.2","-2.1","100.0","","",""
"21","Carolina Panthers","17","2025","Carolina","Panthers","146","12.4","397","32","0.22","15","46.9","274","16.1","1.88","8.56","18.27","126","8.40","59","3.93","1","1","0","0","2","0.13","11","0.075","5","15.6","26","81.3","1","3.1","11","3","27.3","1","74.2","28","87.5","-0.4","100.0","","",""
"22","Arizona Cardinals","17","2025","Arizona","Cardinals","148","12.8","421","33","0.22","18","54.5","272","16.0","1.84","8.24","15.11","72","4.00","22","1.22","0","2","1","0","5","0.28","13","0.088","1","3.0","24","72.7","0","","8","3","37.5","2","69.3","26","78.8","-0.4","100.0","","",""
"23","Tampa Bay Buccaneers","17","2025","Tampa Bay","Buccaneers","142","10.4","394","38","0.27","17","44.7","268","15.8","1.89","7.05","15.76","119","7.00","17","1.00","3","9","5","1","2","0.12","15","0.106","2","5.3","22","57.9","0","","6","3","50.0","1","62.2","29","76.3","-1.0","100.0","","",""
"24","San Francisco 49ers","17","2025","San Francisco","49ers","125","16.2","453","28","0.22","13","46.4","264","15.5","2.11","9.43","20.31","68","5.23","33","2.54","0","1","2","0","0","","11","0.088","1","3.6","17","60.7","1","3.6","5","2","40.0","1","80.1","24","85.7","0.2","100.0","","",""
"25","Tennessee Titans","17","2025","Tennessee","Titans","151","11.6","395","34","0.23","20","58.8","251","14.8","1.66","7.38","12.55","78","3.90","23","1.15","0","3","2","0","0","","14","0.093","1","2.9","27","79.4","0","","11","5","45.5","1","81.9","27","79.4","-1.1","100.0","","",""
"26","Buffalo Bills","17","2025","Buffalo","Bills","119","13.2","370","28","0.24","15","53.6","242","14.2","2.03","8.64","16.13","61","4.07","12","0.80","0","1","2","0","0","","11","0.092","2","7.1","21","75.0","0","","10","5","50.0","1","82.7","26","92.9","0.0","100.0","","",""
"27","Green Bay Packers","16","2025","Green Bay","Packers","180","12.3","518","42","0.23","19","45.2","228","14.3","1.27","5.43","12.00","26","1.37","9","0.47","1","6","5","0","2","0.11","13","0.072","3","7.1","26","61.9","0","","12","6","50.0","1","60.4","32","76.2","-3.0","100.0","","",""
"28","Las Vegas Raiders","16","2025","Las Vegas","Raiders","83","14.1","281","20","0.24","12","60.0","171","10.7","2.06","8.55","14.25","42","3.50","12","1.00","3","5","3","2","4","0.33","12","0.145","1","5.0","13","65.0","0","","5","4","80.0","0","106.5","14","70.0","-0.4","100.0","","",""
"29","Kansas City Chiefs","16","2025","Kansas City","Chiefs","110","11.8","319","27","0.25","11","40.7","171","10.7","1.55","6.33","15.55","64","5.82","17","1.55","0","4","3","0","2","0.18","4","0.036","6","22.2","19","70.4","3","11.1","5","1","20.0","0","31.6","21","77.8","-2.1","100.0","","",""
"30","Los Angeles Chargers","16","2025","Los Angeles","Chargers","107","16.5","379","23","0.21","8","34.8","170","10.6","1.59","7.39","21.25","32","4.00","14","1.75","0","1","1","0","0","","8","0.075","0","","11","47.8","0","","6","3","50.0","0","43.8","21","91.3","-2.4","100.0","","",""
"31","Seattle Seahawks","17","2025","Seattle","Seahawks","144","11.4","342","30","0.21","14","46.7","146","8.6","1.01","4.87","10.43","41","2.93","17","1.21","1","4","5","1","1","0.07","10","0.069","3","10.0","22","73.3","0","","7","2","28.6","0","58.5","21","70.0","-3.7","100.0","","",""
"32","Minnesota Vikings","15","2025","Minnesota","Vikings","43","15.6","140","9","0.21","5","55.6","100","6.7","2.33","11.11","20.00","20","4.00","6","1.20","3","0","1","1","0","","5","0.116","0","","6","66.7","0","","1","0","0.0","0","134.3","8","88.9","1.6","100.0","","",""
