"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"25","Nico Collins","HST","WR","15","2025","9","100.0","8.5","34","77.3","4","0.3","44.4","0.44","2","50.0","22","1.5","84.6","2.44","5.50","11.00","6","3.00","3","1.50","0","0.0","2","1","0","0","3","50.0","0","","1","0.111","0","","2","50.0","0","","1","1","100.0","0","66.7","57.1","-1.9","","100.0","","","0.47","0.3","4.2","10.5","0.7","1.16","10.5"
"26","Mike Evans","TB","WR","8","2025","1","100.0","15.0","15","100.0","1","0.1","100.0","1.00","1","100.0","21","2.6","100.0","21.00","21.00","21.00","6","6.00","","","0","0.0","0","0","0","0","1","100.0","0","","1","1.000","0","","1","100.0","0","","0","0","0.0","0","118.8","100.0","10.6","","100.0","","","3.10","0.4","3.1","1.7","0.2","1.74","1.7"
"27","Troy Franklin","DEN","WR","17","2025","7","100.0","-1.5","-3","300.0","2","0.1","28.6","0.29","2","100.0","21","1.2","45.7","3.00","10.50","10.50","24","12.00","6","3.00","0","0.0","1","0","0","0","2","33.3","0","","2","0.286","0","","2","100.0","2","100.0","0","0","0.0","0","110.4","28.6","4.7","","100.0","","","0.59","0.2","4.1","2.7","0.2","0.39","2.7"
"28","Evan Engram","DEN","TE","16","2025","9","100.0","-1.0","-1","-1.8","1","0.1","11.1","0.11","1","100.0","20","1.3","37.7","2.22","20.00","20.00","21","21.00","16","16.00","0","0.0","0","0","0","0","1","12.5","1","1.00","1","0.111","0","","1","100.0","1","100.0","0","0","0.0","0","118.8","11.1","15.1","","100.0","","","0.33","0.2","3.0","1.3","0.1","0.15","1.3"
"29","Elijah Higgins","ARZ","TE","17","2025","3","100.0","5.3","16","100.0","3","0.2","100.0","1.00","2","66.7","18","1.1","100.0","6.00","6.00","9.00","5","2.50","1","0.50","0","0.0","2","0","0","0","3","100.0","2","1.00","1","0.333","0","","2","66.7","0","","0","0","0.0","0","82.6","100.0","-1.2","","100.0","","","1.27","0.2","3.8","5.7","0.3","1.91","5.7"
"30","Isaiah Likely","BLT","TE","14","2025","10","71.4","5.3","16","42.1","3","0.2","25.0","0.30","2","66.7","18","1.3","40.0","1.80","6.00","9.00","6","3.00","2","1.00","0","0.0","0","0","0","0","2","28.6","0","","1","0.100","1","33.3","3","100.0","0","","0","0","0.0","0","82.6","37.5","-0.6","","100.0","","","0.38","0.3","3.8","6.3","0.5","0.63","6.3"
"31","Ladd McConkey","LAC","WR","16","2025","16","88.9","2.7","8","7.7","3","0.2","21.4","0.19","2","66.7","17","1.1","18.3","1.06","5.67","8.50","14","7.00","4","2.00","0","0.0","2","0","0","0","3","25.0","0","","0","0.000","0","","2","66.7","1","33.3","0","0","0.0","0","81.3","23.1","-0.3","","100.0","","","0.23","0.2","3.7","4.3","0.3","0.27","4.3"
"32","Garrett Wilson","NYJ","WR","7","2025","4","100.0","5.7","17","73.9","3","0.4","75.0","0.75","2","66.7","17","2.4","100.0","4.25","5.67","8.50","7","3.50","6","3.00","1","100.0","1","0","0","0","3","100.0","1","0.50","2","0.500","0","","3","100.0","0","","1","0","0.0","0","120.8","75.0","-1.0","","100.0","","","2.43","1.4","9.7","4.8","0.7","1.21","4.8"
"33","Cooper Kupp","SEA","WR","16","2025","7","100.0","9.3","28","50.9","3","0.2","42.9","0.43","2","66.7","17","1.1","45.9","2.43","5.67","8.50","0","","","","1","100.0","2","2","1","0","3","50.0","0","","2","0.286","0","","2","66.7","0","","1","1","100.0","0","120.8","50.0","-2.4","","100.0","","","1.39","0.6","9.7","5.5","0.3","0.79","5.5"
"34","Tucker Kraft","GB","TE","8","2025","2","100.0","-1.0","-1","50.0","1","0.1","50.0","0.50","1","100.0","16","2.0","100.0","8.00","16.00","16.00","17","17.00","9","9.00","1","100.0","1","0","0","0","1","100.0","1","1.00","1","0.500","0","","1","100.0","1","100.0","0","0","0.0","0","158.3","50.0","11.1","","100.0","","","4.30","1.1","8.6","1.6","0.2","0.81","1.6"
"35","Jalen Nailor","MIN","WR","17","2025","5","83.3","15.0","15","34.9","1","0.1","16.7","0.20","1","100.0","16","0.9","25.8","3.20","16.00","16.00","1","1.00","","","0","0.0","0","0","0","0","1","16.7","0","","1","0.200","0","","1","100.0","0","","0","0","0.0","0","118.8","16.7","5.6","","100.0","","","0.52","0.2","2.6","5.8","0.3","1.16","5.8"
"36","Olamide Zaccheaus","CHI","WR","16","2025","8","100.0","14.5","58","81.7","4","0.3","50.0","0.50","2","50.0","15","0.9","28.3","1.88","3.75","7.50","4","2.00","2","1.00","0","0.0","1","1","0","1","2","40.0","0","","1","0.125","0","","2","50.0","0","","0","0","0.0","0","59.4","57.1","-5.3","","100.0","","","0.44","0.2","3.5","7.7","0.5","0.96","7.7"
"37","Chig Okonkwo","TEN","TE","17","2025","3","60.0","16.0","16","320.0","1","0.1","25.0","0.33","1","100.0","15","0.9","83.3","5.00","15.00","15.00","-1","-1.00","-1","-1.00","0","0.0","0","0","0","0","0","0.0","0","","1","0.333","0","","1","100.0","0","","1","1","100.0","0","118.8","33.3","4.8","","100.0","","","0.83","0.1","2.5","1.5","0.1","0.49","1.5"
"38","Courtland Sutton","DEN","WR","17","2025","7","87.5","16.5","33","45.8","2","0.1","25.0","0.29","1","50.0","15","0.9","28.8","2.14","7.50","15.00","0","","","","1","50.0","2","2","1","1","2","28.6","0","","1","0.143","0","","1","50.0","0","","0","0","0.0","0","114.6","25.0","-1.4","","100.0","","","1.21","0.5","8.5","5.4","0.3","0.78","5.4"
"39","A.J. Brown","PHI","WR","15","2025","9","90.0","2.3","9","15.5","4","0.3","40.0","0.44","2","50.0","15","1.0","93.8","1.67","3.75","7.50","13","6.50","7","3.50","0","0.0","3","0","0","0","4","50.0","1","0.50","0","0.000","0","","2","50.0","1","25.0","0","0","0.0","0","19.8","40.0","-2.0","","100.0","","","0.39","0.2","3.5","7.4","0.5","0.82","7.4"
"40","Tyler Johnson","NYJ","WR","12","2025","5","100.0","19.0","19","54.3","1","0.1","25.0","0.20","1","100.0","15","1.3","65.2","3.00","15.00","15.00","0","","","","1","100.0","1","1","1","0","1","33.3","0","","1","0.200","0","","1","100.0","0","","0","0","0.0","0","158.3","33.3","3.1","","100.0","","","1.70","0.7","8.5","2.4","0.2","0.48","2.4"
"41","Ray-Ray McCloud","ATL, NYG","WR","6","2025","2","66.7","7.0","7","70.0","1","0.2","33.3","0.50","1","100.0","14","2.3","73.7","7.00","14.00","14.00","7","7.00","5","5.00","0","0.0","0","0","0","0","1","33.3","0","","1","0.500","0","","1","100.0","0","","0","0","0.0","0","118.8","33.3","6.9","","100.0","","","1.20","0.4","2.4","1.6","0.3","0.80","1.6"
"42","CeeDee Lamb","DAL","WR","14","2025","10","100.0","3.5","7","29.2","2","0.1","20.0","0.20","1","50.0","13","0.9","16.0","1.30","6.50","13.00","9","9.00","3","3.00","0","0.0","1","0","0","0","2","28.6","0","","0","0.000","1","50.0","2","100.0","0","","0","0","0.0","0","70.8","22.2","0.8","","100.0","","","0.23","0.2","2.3","4.5","0.3","0.45","4.5"
"43","Mike Gesicki","CIN","TE","13","2025","6","100.0","17.0","34","54.0","2","0.2","33.3","0.33","1","50.0","12","0.9","75.0","2.00","6.00","12.00","0","","","","1","50.0","1","1","1","0","1","25.0","0","","1","0.167","0","","1","50.0","0","","0","0","0.0","0","108.3","33.3","-5.6","","100.0","","","1.37","0.6","8.2","4.2","0.3","0.70","4.2"
"44","Kyle Pitts","ATL","TE","17","2025","7","87.5","6.7","20","41.7","3","0.2","37.5","0.43","2","66.7","12","0.7","35.3","1.71","4.00","6.00","4","2.00","1","0.50","0","0.0","1","1","0","0","3","37.5","0","","1","0.143","0","","2","66.7","1","33.3","2","1","50.0","0","74.3","37.5","-2.9","","100.0","","","0.46","0.2","3.2","7.0","0.4","1.00","7.0"
"45","Puka Nacua","LA","WR","16","2025","3","75.0","5.0","5","21.7","1","0.1","25.0","0.33","1","100.0","11","0.7","73.3","3.67","11.00","11.00","6","6.00","5","5.00","0","0.0","0","0","0","0","1","33.3","0","","1","0.333","0","","1","100.0","0","","0","0","0.0","0","112.5","25.0","4.6","","100.0","","","0.70","0.1","2.1","1.4","0.1","0.47","1.4"
"46","Sam LaPorta","DET","TE","9","2025","5","71.4","2.0","2","12.5","1","0.1","14.3","0.20","1","100.0","11","1.2","23.9","2.20","11.00","11.00","9","9.00","3","3.00","0","0.0","0","0","0","0","1","20.0","0","","1","0.200","0","","1","100.0","0","","0","0","0.0","0","112.5","16.7","4.6","","100.0","","","0.42","0.2","2.1","1.5","0.2","0.31","1.5"
