"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"52","Amon-Ra St. Brown","DET","WR","17","2025","21","80.8","7.7","54","108.0","7","0.4","26.9","0.33","5","71.4","33","1.9","22.1","1.57","4.71","6.60","12","2.40","4","0.80","0","0.0","0","0","0","1","7","35.0","0","","1","0.048","0","","5","71.4","2","28.6","0","0","0.0","1","81.3","29.2","-3.0","100.0","","","","0.40","0.5","8.3","11.2","0.7","0.53","11.2"
"53","Tyquan Thornton","KC","WR","14","2025","18","94.7","31.0","31","32.6","1","0.1","6.3","0.06","1","100.0","32","2.3","30.2","1.78","32.00","32.00","1","1.00","","","0","0.0","0","0","0","1","1","10.0","0","","1","0.056","0","","1","100.0","0","","0","0","0.0","0","118.8","7.7","19.4","100.0","","","","0.23","0.3","4.2","1.3","0.1","0.07","1.3"
"54","Stefon Diggs","NE","WR","17","2025","14","100.0","4.8","24","38.1","5","0.3","50.0","0.36","4","80.0","32","1.9","53.3","2.29","6.40","8.00","13","3.25","4","1.00","0","0.0","1","0","0","0","5","71.4","0","","2","0.143","0","","4","80.0","0","","1","1","100.0","0","93.3","62.5","0.0","100.0","","","","0.51","0.4","7.2","7.1","0.4","0.51","7.1"
"55","Marvin Harrison","ARZ","WR","12","2025","37","97.4","16.6","116","69.5","7","0.6","25.0","0.19","2","28.6","30","2.5","19.1","0.81","4.29","15.00","-3","-1.50","","","0","0.0","0","1","0","2","5","35.7","0","","2","0.054","1","14.3","4","57.1","0","","1","0","0.0","0","44.9","25.9","-5.7","100.0","","","","0.14","0.4","5.0","12.2","1.0","0.33","12.2"
"56","Cole Kmet","CHI","TE","16","2025","6","54.5","15.0","15","65.2","1","0.1","10.0","0.17","1","100.0","29","1.8","26.1","4.83","29.00","29.00","14","14.00","1","1.00","0","0.0","0","0","0","0","1","11.1","0","","1","0.167","0","","1","100.0","0","","0","0","0.0","0","118.8","10.0","18.4","100.0","","","","0.65","0.2","3.9","1.4","0.1","0.23","1.4"
"57","Luke Schoonmaker","DAL","TE","17","2025","3","100.0","6.0","6","10.9","1","0.1","33.3","0.33","1","100.0","29","1.7","32.6","9.67","29.00","29.00","23","23.00","5","5.00","0","0.0","0","0","0","0","0","0.0","0","","1","0.333","0","","1","100.0","0","","0","0","0.0","0","118.8","33.3","21.9","100.0","","","","1.30","0.2","3.9","1.5","0.1","0.51","1.5"
"58","Ladd McConkey","LAC","WR","16","2025","22","100.0","13.5","54","48.2","4","0.3","26.7","0.18","2","50.0","27","1.7","25.2","1.23","6.75","13.50","16","8.00","5","2.50","0","0.0","0","0","0","1","4","57.1","1","0.50","2","0.091","0","","2","50.0","0","","0","0","0.0","0","71.9","30.8","-2.0","100.0","","","","0.21","0.3","4.7","10.2","0.6","0.46","10.2"
"59","Jakobi Meyers","LV, JAX","WR","16","2025","19","100.0","5.8","23","14.5","4","0.3","30.8","0.21","3","75.0","26","1.6","29.5","1.37","6.50","8.67","16","5.33","3","1.00","0","0.0","0","0","0","0","3","42.9","0","","1","0.053","0","","3","75.0","1","25.0","0","0","0.0","0","52.1","30.8","-0.7","100.0","","","","0.29","0.4","5.6","6.1","0.4","0.32","6.1"
"60","Xavier Worthy","KC","WR","14","2025","31","100.0","12.0","48","27.4","4","0.3","14.3","0.13","1","25.0","26","1.9","11.5","0.84","6.50","26.00","12","12.00","","","0","0.0","0","0","0","1","3","15.0","0","","1","0.032","1","25.0","3","75.0","0","","0","0","0.0","0","54.2","16.0","-1.9","100.0","","","","0.12","0.3","3.6","6.8","0.5","0.22","6.8"
"61","Dante Pettis","NO","WR","8","2025","5","100.0","31.5","63","82.9","2","0.3","66.7","0.40","1","50.0","26","3.3","100.0","5.20","13.00","26.00","3","3.00","1","1.00","0","0.0","0","0","0","2","2","100.0","0","","1","0.200","0","","1","50.0","0","","0","0","0.0","0","95.8","66.7","0.4","100.0","","","","0.72","0.5","3.6","3.5","0.4","0.71","3.5"
