"Player Details","","","","","","Passing","","","","","","","","","","","","","","","Scrambles","","","Passing Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","",""
"Rank","Name","Team","POS","G","Season","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","SCRM","YDS","TD","CPOE","aDOT","AY","Deep Throw %","Deep Throw","YAC %","ADJ CMP %","1Read %","ACC %","CATCH %","OFF %","HERO %","TWT %","EZATT","DROP %","DROP YDS","TTT","TTP","TTSK","TTSC","QB SK","QBP","PRESS %","PRESS SK %","PrROE","CHK %","RPO %","TA","BAT","SPK","FP/DB","FP/OPP","FP/G","FP","OPP"
"17","Baker Mayfield","TB","QB","17","2025","139","114","61","53.5","558","32.8","4.89","6","2","29","77.3","9","6.5","55","4.33","16","205","1","-7.9","8.2","880","9.6","11","46.1","64.5","67.5","48.2","67.5","24.6","4.4","2.6","4","7.0","75","2.69","2.56","3.8","5.2","3","64","46.0","14.1","16.15","2.6","4.3","3","4","0","0.50","0.50","4.1","69.8","139"
"18","Daniel Jones","IND","QB","13","2025","76","68","40","58.8","543","41.8","7.99","5","1","32","102.8","4","5.3","41","7.74","4","30","0","-4.7","10.9","717","14.7","10","28.7","64.1","89.7","50.0","70.6","23.5","7.4","4.4","7","1.5","4","2.46","2.40","3.0","5.1","0","27","35.5","14.8","6.47","1.5","3.9","1","1","0","0.58","0.58","3.4","43.7","76"
"19","Jaxson Dart","NYG","QB","14","2025","97","75","44","58.7","542","38.7","7.23","4","1","29","93.3","12","12.4","45","6.11","10","75","1","-4.8","9.1","639","10.7","8","61.6","67.1","68.0","54.7","69.3","20.0","4.0","2.7","5","4.0","52","2.72","2.80","4.2","5.6","6","46","47.4","26.1","18.81","4.0","6.2","2","3","0","0.52","0.52","3.6","50.2","97"
"20","Bo Nix","DEN","QB","17","2025","78","71","42","59.2","537","31.6","7.56","4","2","30","89.9","1","1.3","6","7.24","6","63","0","-0.5","10.1","678","14.1","10","48.0","69.7","73.2","57.7","70.4","22.5","7.0","2.8","6","5.6","52","2.47","2.25","4.4","5.1","1","25","32.1","4.0","2.36","","5.1","2","2","0","0.54","0.54","2.5","41.8","78"
"21","Jalen Hurts","PHI","QB","16","2025","87","74","42","56.8","530","33.1","7.16","8","0","28","115.3","6","6.9","48","8.03","7","68","0","-2.1","11.5","795","23.0","17","44.5","64.7","81.1","50.0","68.9","18.9","9.5","","5","2.7","37","2.51","2.42","4.7","5.0","2","32","36.8","18.8","8.36","1.4","4.6","4","1","0","0.69","0.69","3.8","60.0","87"
"22","Jacoby Brissett","ARZ","QB","14","2025","87","75","40","53.3","525","37.5","7.00","1","2","31","69.0","10","11.5","64","4.60","2","7","0","-1.5","11.4","796","18.7","14","27.6","66.2","80.0","54.7","69.3","21.3","5.3","1.3","3","6.7","52","2.65","2.62","3.8","5.9","2","36","41.4","27.8","10.59","4.0","1.1","5","0","0","0.27","0.27","1.7","23.7","87"
"23","Cam Ward","TEN","QB","17","2025","106","88","43","48.9","497","29.2","5.65","4","1","29","76.8","14","13.2","102","4.22","4","23","0","-8.9","10.2","766","15.9","14","35.0","60.8","58.0","42.0","54.5","27.3","4.5","4.5","3","2.3","1","2.90","2.64","3.3","4.8","4","49","46.2","28.6","12.92","5.7","1.9","8","5","0","0.33","0.33","2.1","35.2","106"
"24","Bryce Young","CAR","QB","16","2025","92","83","39","47.0","482","30.1","5.81","5","3","30","70.5","5","5.4","35","4.68","4","20","0","-9.0","9.5","690","9.6","8","44.4","61.1","67.5","39.8","62.7","18.1","7.2","3.6","10","6.0","19","2.53","2.52","4.2","4.9","3","36","39.1","13.9","8.69","3.6","","7","3","0","0.42","0.42","2.4","38.3","92"
"25","Brock Purdy","SF","QB","9","2025","61","59","37","62.7","366","40.7","6.20","5","0","25","108.4","2","3.3","13","7.43","0","0","0","4.6","8.7","472","11.9","7","28.4","75.0","57.6","49.2","71.2","15.3","3.4","1.7","6","3.4","11","3.11","2.82","2.9","","0","23","37.7","8.7","-4.56","1.7","","4","1","0","0.57","0.57","3.8","34.6","61"
"26","Kirk Cousins","ATL","QB","10","2025","54","51","25","49.0","362","36.2","7.10","2","0","20","85.6","3","5.6","8","7.30","0","0","0","-9.5","10.2","499","15.7","8","59.4","59.2","68.6","51.0","68.6","27.5","5.9","3.9","2","7.8","47","2.55","2.52","3.5","","1","24","44.4","12.5","12.32","3.9","","2","0","0","0.42","0.42","2.2","22.5","54"
"27","J.J. McCarthy","MIN","QB","10","2025","57","47","24","51.1","354","35.4","7.53","4","3","18","77.8","8","14.0","61","4.33","2","15","1","0.9","12.3","505","19.1","9","31.9","65.9","78.7","44.7","63.8","23.4","10.6","4.3","6","6.4","36","2.94","2.62","3.6","5.3","2","27","47.4","29.6","13.66","2.1","1.8","3","3","0","0.57","0.57","3.3","32.7","57"
"28","Tyler Shough","NO","QB","11","2025","46","38","24","63.2","336","30.5","8.84","2","0","19","109.1","5","10.9","38","7.86","3","44","1","-2.0","10.5","400","21.1","8","43.8","65.8","81.6","55.3","78.9","18.4","2.6","","3","2.6","20","2.40","2.47","3.5","5.0","2","17","37.0","29.4","10.91","2.6","","0","0","0","0.69","0.69","2.9","31.8","46"
"29","Jayden Daniels","WAS","QB","7","2025","54","46","19","41.3","317","45.3","6.89","1","0","15","72.5","3","5.6","19","6.49","5","42","0","-3.2","12.1","508","21.7","10","29.0","61.9","71.7","26.1","60.9","30.4","8.7","2.2","2","15.2","78","2.54","2.44","2.7","5.6","0","22","40.7","13.6","11.82","","","2","2","0","0.37","0.37","2.8","19.9","54"
"30","Michael Penix","ATL","QB","9","2025","58","54","20","37.0","303","33.7","5.61","1","1","16","54.8","2","3.4","25","4.52","2","6","0","-14.8","13.4","655","22.2","12","34.7","47.9","70.4","31.5","48.1","38.9","1.9","1.9","1","5.6","39","2.96","2.75","4.0","6.0","0","24","41.4","8.3","3.09","","","4","1","0","0.27","0.27","1.7","15.7","58"
"31","Shedeur Sanders","CLV","QB","8","2025","41","34","16","47.1","299","37.4","8.79","0","0","13","77.9","4","9.8","29","7.11","3","30","0","-7.8","9.0","267","11.8","4","47.5","63.0","64.7","50.0","55.9","20.6","8.8","5.9","0","2.9","11","2.91","2.66","3.4","5.4","1","22","53.7","18.2","20.19","","","3","2","0","0.34","0.34","1.7","14.0","41"
"32","Mac Jones","SF","QB","11","2025","43","40","27","67.5","297","27.0","7.43","3","0","19","114.3","2","4.7","10","8.26","1","1","0","10.0","7.7","286","5.0","2","35.0","83.3","77.5","60.0","82.5","7.5","2.5","","2","7.5","31","2.30","2.65","3.3","5.3","0","14","32.6","14.3","4.84","2.5","","2","1","0","0.51","0.51","2.0","22.0","43"
"33","Dillon Gabriel","CLV","QB","10","2025","53","47","29","61.7","269","26.9","5.72","1","0","18","84.4","6","11.3","37","4.75","0","0","0","-7.1","6.3","285","6.4","3","65.1","68.9","83.0","53.2","72.3","21.3","2.1","2.1","2","4.3","32","2.43","2.39","3.3","","1","20","37.7","30.0","9.36","2.1","","2","0","0","0.28","0.28","1.5","14.8","53"
"34","Marcus Mariota","WAS","QB","11","2025","54","50","24","48.0","242","22.0","4.84","2","1","15","67.3","2","3.7","17","4.23","2","5","0","-14.9","10.0","482","14.0","7","48.8","52.1","78.0","48.0","60.0","34.0","2.0","6.0","5","2.0","19","2.61","2.64","2.8","7.2","0","18","33.3","11.1","0.83","4.0","","2","0","0","0.32","0.32","1.6","17.2","54"
"35","Joe Burrow","CIN","QB","8","2025","47","46","24","52.2","241","30.1","5.24","5","1","18","94.6","0","","0","6.43","1","2","0","-8.2","9.8","439","15.2","7","29.5","62.2","78.3","67.4","76.1","21.7","15.2","2.2","10","8.7","24","2.63","2.54","","4.0","0","13","27.7","","-7.00","","2.1","1","0","0","0.61","0.61","3.6","28.8","47"
"36","Spencer Rattler","NO","QB","9","2025","42","37","25","67.6","223","24.8","6.03","2","1","13","90.3","1","2.4","7","5.55","4","39","0","3.1","9.1","326","13.5","5","23.8","75.0","75.7","56.8","83.8","13.5","8.1","2.7","4","5.4","34","2.44","2.34","3.2","4.1","1","19","45.2","5.3","16.85","5.4","2.4","1","0","0","0.47","0.47","2.2","19.8","42"
"37","Justin Fields","NYJ","QB","9","2025","49","39","23","59.0","212","23.6","5.44","1","0","11","82.4","9","18.4","60","3.58","1","14","0","5.6","8.9","319","12.8","5","34.9","77.1","76.9","53.8","76.9","12.8","5.1","","2","10.3","71","2.34","2.46","3.3","6.1","5","25","51.0","36.0","26.81","","","2","1","0","0.26","0.26","1.4","12.9","49"
"38","Jameis Winston","NYG","QB","3","2025","29","26","12","46.2","212","70.7","8.15","0","0","9","74.5","2","6.9","11","7.18","1","11","0","-10.4","9.5","218","11.5","3","44.3","60.9","76.9","38.5","61.5","26.9","11.5","3.8","3","7.7","10","2.78","2.61","4.7","5.4","0","16","55.2","12.5","21.12","","3.4","2","1","0","0.69","0.69","6.6","19.9","29"
"39","Tua Tagovailoa","MIA","QB","14","2025","42","37","20","54.1","209","14.9","5.65","1","0","12","79.7","2","4.8","14","5.51","3","7","0","-4.9","5.3","180","2.7","1","67.5","72.7","67.6","51.4","67.6","21.6","2.7","2.7","1","10.8","28","2.31","2.28","4.0","4.6","0","12","28.6","16.7","2.19","10.8","7.1","2","2","0","0.31","0.31","0.9","13.1","42"
"40","Carson Wentz","MIN","QB","5","2025","40","35","19","54.3","169","33.8","4.83","0","1","13","55.5","4","10.0","23","2.59","1","11","0","-7.4","11.3","374","17.1","6","34.3","60.6","74.3","45.7","60.0","34.3","","2.9","3","2.9","26","2.53","2.38","3.1","5.2","2","19","47.5","21.1","17.93","2.9","2.5","2","0","0","0.17","0.17","1.4","6.9","40"
"41","Davis Mills","HST","QB","6","2025","31","29","14","48.3","154","25.7","5.31","0","0","8","64.4","1","3.2","7","4.90","1","7","0","-19.5","9.1","263","13.8","4","27.9","51.7","79.3","62.1","72.4","24.1","3.4","3.4","1","3.4","4","2.17","2.43","2.6","5.0","0","11","35.5","9.1","9.76","3.4","","0","0","0","0.22","0.22","1.1","6.9","31"
"42","Jake Browning","CIN","QB","5","2025","19","16","11","68.8","138","27.6","8.63","2","0","6","134.9","1","5.3","7","10.06","2","15","0","7.7","10.7","171","25.0","4","32.6","75.0","87.5","62.5","75.0","25.0","6.3","","2","6.3","1","2.24","2.04","2.8","6.2","0","7","36.8","14.3","12.69","6.3","5.3","0","0","0","0.79","0.79","3.0","15.0","19"
"43","Russell Wilson","NYG","QB","6","2025","23","18","11","61.1","137","22.8","7.61","0","1","8","61.6","2","8.7","4","4.40","3","22","0","-0.6","7.8","117","5.6","1","62.8","73.3","66.7","50.0","66.7","16.7","","5.6","1","","0","2.39","2.54","4.4","4.3","1","11","47.8","18.2","23.34","5.6","","3","0","0","0.29","0.29","1.1","6.7","23"
"44","Tyler Huntley","BLT","QB","5","2025","16","15","12","80.0","127","25.4","8.47","0","0","5","101.9","0","","0","8.47","1","9","0","20.9","8.1","121","6.7","1","14.2","92.9","86.7","53.3","93.3","","6.7","","1","6.7","2","2.37","2.52","","4.7","0","5","31.3","","2.17","","","0","1","0","0.37","0.37","1.2","6.0","16"
"45","Josh Johnson","WAS","QB","5","2025","13","9","5","55.6","119","23.8","13.22","0","0","5","100.5","1","7.7","8","11.10","3","21","0","-13.8","9.4","85","11.1","1","76.5","55.6","77.8","55.6","55.6","44.4","","11.1","2","","0","2.31","2.66","3.1","4.8","0","5","38.5","20.0","17.73","","7.7","0","0","0","0.53","0.53","1.4","6.9","13"
"46","Andy Dalton","CAR","QB","4","2025","11","10","9","90.0","110","27.5","11.00","1","0","8","145.8","1","9.1","9","11.00","0","0","0","29.4","9.2","83","10.0","1","30.0","100.0","90.0","40.0","90.0","","","","1","","0","2.34","2.85","2.1","","0","2","18.2","50.0","-9.50","","","1","0","0","0.76","0.76","2.1","8.4","11"
"47","Cooper Rush","BLT","QB","4","2025","10","10","7","70.0","105","26.3","10.50","0","1","3","64.6","0","","0","6.00","0","0","0","-1.7","8.6","86","10.0","1","52.4","70.0","60.0","50.0","80.0","20.0","10.0","10.0","0","","0","2.44","2.18","","","0","5","50.0","","17.83","","","0","0","0","0.32","0.32","0.8","3.2","10"
"48","Philip Rivers","IND","QB","3","2025","21","20","8","40.0","93","31.0","4.65","0","0","7","54.8","1","4.8","8","4.05","0","0","0","-30.9","8.0","152","5.0","1","59.1","42.1","85.0","35.0","50.0","45.0","","5.0","1","","0","2.34","2.10","3.0","","0","7","33.3","14.3","4.34","5.0","","1","0","0","0.18","0.18","1.2","3.7","21"
"49","Tyrod Taylor","NYJ","QB","6","2025","28","25","12","48.0","92","15.3","3.68","0","1","5","40.8","0","","0","1.88","3","27","0","-7.9","8.3","190","12.0","3","63.0","65.2","76.0","36.0","68.0","24.0","","4.0","0","12.0","9","2.36","2.38","","5.8","0","12","42.9","","15.37","4.0","","1","1","0","0.19","0.19","0.9","5.4","28"
"50","Malik Willis","GB","QB","4","2025","7","6","6","100.0","87","21.8","14.50","1","0","4","158.3","0","","0","17.83","1","12","0","32.4","11.0","66","33.3","2","24.1","100.0","83.3","83.3","100.0","","33.3","","0","","0","2.23","2.00","","3.8","0","2","28.6","","4.05","","","0","0","0","1.24","1.24","2.2","8.7","7"
"51","Kyler Murray","ARZ","QB","5","2025","19","17","10","58.8","74","14.8","4.35","2","1","7","83.9","2","10.5","7","3.26","0","0","0","-5.0","7.2","115","","0","68.9","68.8","82.4","47.1","76.5","11.8","","","1","5.9","13","2.22","2.30","5.2","","1","3","15.8","66.7","-9.65","","5.3","0","1","0","0.52","0.52","2.0","10.0","19"
"52","Mitchell Trubisky","BUF","QB","4","2025","8","7","6","85.7","66","16.5","9.43","2","0","4","145.5","0","","0","15.14","1","9","0","24.6","7.3","51","","0","43.9","100.0","85.7","71.4","100.0","","14.3","","0","14.3","14","2.37","3.80","","4.3","0","1","12.5","","-14.61","","","0","0","0","1.44","1.44","2.9","11.5","8"
"53","Tanner McKee","PHI","QB","4","2025","13","12","7","58.3","61","15.3","5.08","0","0","4","71.9","0","","0","5.08","1","9","0","-8.3","8.5","94","8.3","1","63.9","63.6","58.3","50.0","58.3","33.3","","","1","","0","2.49","2.57","","3.9","0","3","23.1","","-7.44","8.3","","1","0","0","0.26","0.26","0.8","3.3","13"
"54","Brady Cook","NYJ","QB","5","2025","22","20","8","40.0","60","12.0","3.00","0","2","5","8.3","2","9.1","19","-2.23","0","0","0","-27.1","8.1","161","15.0","3","48.3","45.0","85.0","35.0","50.0","50.0","","15.0","1","5.0","-2","2.50","2.36","3.2","","0","5","22.7","40.0","-7.46","5.0","","0","0","0","0.02","0.02","0.1","0.4","22"
"55","Quinn Ewers","MIA","QB","4","2025","12","10","7","70.0","57","14.3","5.70","0","0","3","84.2","1","8.3","3","4.91","1","5","0","-3.4","3.6","32","","0","96.5","77.8","70.0","50.0","80.0","10.0","","","0","","0","2.44","2.40","3.3","4.0","1","5","41.7","20.0","14.86","20.0","8.3","1","0","0","0.27","0.27","0.8","3.2","12"
"56","Mason Rudolph","PIT","QB","5","2025","10","10","5","50.0","55","11.0","5.50","0","0","3","66.7","0","","0","5.50","0","0","0","-8.3","8.3","66","10.0","1","81.8","62.5","80.0","30.0","50.0","20.0","","10.0","0","","0","2.49","","","","0","0","","","-33.03","","","1","1","0","0.22","0.22","0.4","2.2","10"
"57","Joe Milton","DAL","QB","4","2025","3","3","3","100.0","54","13.5","18.00","0","0","2","118.8","0","","0","18.00","0","0","0","29.8","8.0","24","","0","55.6","100.0","66.7","66.7","100.0","","","","0","","0","3.50","3.15","","","0","2","66.7","","16.21","","","0","0","0","0.72","0.72","0.5","2.2","3"
"58","Max Brosmer","MIN","QB","7","2025","16","12","6","50.0","46","6.6","3.83","0","0","2","59.7","3","18.8","20","1.73","1","5","0","1.1","7.6","91","8.3","1","39.1","75.0","58.3","25.0","83.3","16.7","","8.3","0","25.0","19","2.14","2.50","3.8","5.1","0","6","37.5","50.0","17.23","","","0","0","0","0.15","0.15","0.3","2.3","16"
"59","Aidan O'Connell","LV","QB","1","2025","6","5","3","60.0","32","32.0","6.40","0","0","2","78.8","0","","0","6.40","1","7","0","-10.2","9.6","48","20.0","1","18.8","60.0","80.0","60.0","60.0","40.0","20.0","","0","","0","2.00","2.53","","3.8","0","3","50.0","","29.52","","","0","0","0","0.33","0.33","2.0","2.0","6"
"60","Brandon Allen","TEN","QB","1","2025","5","5","3","60.0","31","31.0","6.20","0","0","2","77.9","0","","0","6.20","0","0","0","-10.6","8.2","41","","0","25.8","60.0","100.0","60.0","60.0","40.0","","","0","","0","2.90","2.95","","","0","2","40.0","","-0.11","","","0","0","0","0.25","0.25","1.2","1.2","5"
"61","Trey Lance","LAC","QB","4","2025","7","6","3","50.0","24","6.0","4.00","0","0","1","60.4","1","14.3","8","2.29","0","0","0","-23.3","8.2","49","16.7","1","45.8","50.0","100.0","83.3","83.3","16.7","","","0","","0","2.00","1.63","2.5","","0","4","57.1","25.0","36.07","","14.3","0","0","0","0.14","0.14","0.2","1.0","7"
"62","Kenny Pickett","LV","QB","6","2025","15","11","7","63.6","24","4.0","2.18","0","0","1","67.6","3","20.0","23","0.07","1","8","0","-0.9","4.2","42","","0","45.8","80.0","63.6","54.5","81.8","9.1","","","1","9.1","-1","2.41","2.70","3.8","3.8","2","7","46.7","42.9","23.47","18.2","","0","1","0","0.12","0.12","0.3","1.8","15"
"63","Tyson Bagent","CHI","QB","3","2025","2","1","1","100.0","22","7.3","22.00","0","0","1","118.8","0","","0","22.00","1","7","0","35.5","12.0","12","","0","45.5","100.0","100.0","100.0","100.0","","","","0","","0","2.80","3.30","","4.6","0","1","50.0","","30.81","","","0","0","0","0.79","0.79","0.5","1.6","2"
"64","Riley Leonard","IND","QB","5","2025","10","8","4","50.0","19","3.8","2.38","0","0","2","56.3","0","","0","2.38","2","20","0","-21.9","5.0","35","","0","57.9","57.1","75.0","62.5","62.5","25.0","","","2","","0","2.29","2.53","","5.1","0","4","40.0","","16.37","","30.0","1","0","0","0.28","0.28","0.6","2.8","10"
"65","Teddy Bridgewater","TB","QB","4","2025","5","4","3","75.0","18","4.5","4.50","0","0","1","83.3","0","","0","4.50","1","6","0","12.0","","0","","0","100.0","100.0","75.0","75.0","75.0","","","","0","","0","2.00","2.30","","6.0","0","1","20.0","","0.34","","","1","0","0","0.26","0.26","0.3","1.3","5"
"66","Joshua Dobbs","NE","QB","4","2025","2","2","2","100.0","12","3.0","6.00","0","0","1","91.7","0","","0","6.00","0","0","0","23.0","6.0","12","","0","","100.0","50.0","50.0","100.0","","","","0","","0","4.10","2.40","","","0","1","50.0","","-10.80","","","0","0","0","0.24","0.24","0.1","0.5","2"
"67","Chris Oladokun","KC","QB","3","2025","9","8","3","37.5","11","3.7","1.38","0","0","0","45.8","1","11.1","10","0.11","0","0","0","-24.3","7.9","63","12.5","1","18.2","50.0","87.5","37.5","62.5","25.0","","12.5","0","12.5","-1","2.34","2.36","5.1","","1","5","55.6","20.0","28.53","","11.1","0","0","0","0.05","0.05","0.1","0.4","9"
"68","Shane Buechele","KC","QB","1","2025","6","3","1","33.3","10","10.0","3.33","0","0","1","43.8","3","50.0","10","","0","0","0","-38.3","0.5","1","","0","130.0","50.0","66.7","33.3","33.3","33.3","","","0","","0","2.20","2.60","3.4","","3","4","66.7","75.0","52.65","","16.7","1","0","0","0.07","0.07","0.4","0.4","6"
"69","Nick Mullens","JAX","QB","5","2025","1","1","1","100.0","8","1.6","8.00","0","0","1","100.0","0","","0","8.00","0","0","0","21.5","6.0","6","","0","25.0","100.0","100.0","100.0","100.0","","","","0","","0","1.90","","","","0","0","","","-22.86","","","0","0","0","0.32","0.32","0.1","0.3","1"
"70","Zach Wilson","MIA","QB","4","2025","1","1","0","","0","0.0","","0","0","0","39.6","0","","0","","0","0","0","","8.0","0","","0","","","100.0","","","","","","0","","0","2.40","2.30","","","0","1","100.0","","68.52","","","0","0","0","0.00","0.00","","0.0","1"
"71","Kyle Allen","DET","QB","3","2025","1","1","0","","0","0.0","","0","0","0","39.6","0","","0","","0","0","0","-88.0","1.0","1","","0","","","100.0","","100.0","","","","0","","0","1.60","","","","0","0","","","-17.68","","","0","0","0","0.00","0.00","","0.0","1"
"72","Gardner Minshew","KC","QB","4","2025","1","1","0","","0","0.0","","0","1","0","","0","","0","-45.00","0","0","0","-49.0","20.0","20","100.0","1","","","100.0","","","100.0","","100.0","0","","0","3.30","","","","0","0","","","-47.01","","","0","0","0","-1.00","-1.00","-0.3","-1.0","1"
