"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"43","Keaton Mitchell","BLT","RB","13","2025","7","77.8","-5.0","-5","-6.5","1","0.1","12.5","0.14","1","100.0","17","1.3","12.3","2.43","17.00","17.00","22","22.00","2","2.00","0","0.0","0","0","0","0","1","16.7","0","","1","0.143","0","","1","100.0","1","100.0","0","0","0.0","0","118.8","12.5","11.1","","","","100.0","0.39","0.2","2.7","3.4","0.3","0.48","3.4"
"44","Kenneth Walker","SEA","RB","17","2025","22","66.7","-5.0","-10","-5.9","2","0.1","6.3","0.09","2","100.0","17","1.0","6.4","0.77","8.50","8.50","27","13.50","17","8.50","0","0.0","0","0","0","0","2","8.7","1","0.50","1","0.045","0","","2","100.0","2","100.0","0","0","0.0","0","102.1","7.1","2.6","","","","100.0","0.17","0.2","3.7","2.7","0.2","0.12","2.7"
"45","Raheem Mostert","LV","RB","12","2025","11","68.8","-0.5","-1","-0.8","2","0.2","14.3","0.18","2","100.0","16","1.3","19.5","1.45","8.00","8.00","17","8.50","1","0.50","0","0.0","0","0","0","0","0","0.0","0","","1","0.091","0","","2","100.0","0","","0","0","0.0","0","100.0","14.3","1.7","","","","100.0","0.33","0.3","3.6","3.0","0.3","0.27","3.0"
"46","Dare Ogunbowale","HST","RB","17","2025","7","38.9","2.0","4","2.7","2","0.1","13.3","0.29","1","50.0","16","0.9","15.2","2.29","8.00","16.00","15","15.00","","","0","0.0","0","0","0","0","1","9.1","0","","1","0.143","0","","2","100.0","0","","1","0","0.0","0","77.1","14.3","1.9","","","","100.0","0.37","0.2","2.6","2.5","0.1","0.36","2.5"
"47","Chris Brooks","GB","RB","17","2025","12","50.0","4.5","9","3.3","2","0.1","8.7","0.17","1","50.0","16","0.9","9.4","1.33","8.00","16.00","15","15.00","-1","-1.00","0","0.0","1","0","0","0","0","0.0","0","","1","0.083","0","","1","50.0","0","","0","0","0.0","0","77.1","9.1","0.9","","","","100.0","0.22","0.2","2.6","3.8","0.2","0.31","3.8"
"48","Austin Ekeler","WAS","RB","2","2025","11","91.7","-8.0","-8","-7.3","1","0.5","10.0","0.09","1","100.0","15","7.5","25.9","1.36","15.00","15.00","23","23.00","5","5.00","0","0.0","0","0","0","0","0","0.0","2","2.00","1","0.091","0","","1","100.0","0","","0","0","0.0","0","118.8","11.1","10.5","","","","100.0","0.23","1.3","2.5","1.4","0.7","0.13","1.4"
"49","Kimani Vidal","LAC","RB","13","2025","45","65.2","-5.0","-5","-1.2","1","0.1","1.8","0.02","1","100.0","15","1.2","4.4","0.33","15.00","15.00","20","20.00","4","4.00","0","0.0","0","0","0","0","1","2.7","0","","1","0.022","0","","1","100.0","1","100.0","0","0","0.0","0","118.8","2.0","9.1","","","","100.0","0.06","0.2","2.5","1.9","0.1","0.04","1.9"
"50","Michael Carter","ARZ","RB","13","2025","21","77.8","-0.5","-1","-0.5","2","0.2","9.1","0.10","1","50.0","14","1.1","13.6","0.67","7.00","14.00","17","17.00","1","1.00","0","0.0","0","0","0","0","1","5.9","0","","1","0.048","1","50.0","2","100.0","1","50.0","0","0","0.0","0","72.9","10.5","0.7","","","","100.0","0.11","0.2","2.4","2.6","0.2","0.13","2.6"
"51","David Montgomery","DET","RB","17","2025","24","72.7","3.5","7","3.4","2","0.1","6.5","0.08","1","50.0","13","0.8","5.0","0.54","6.50","13.00","11","11.00","10","10.00","0","0.0","0","0","0","0","0","0.0","1","1.00","1","0.042","0","","1","50.0","0","","0","0","0.0","0","70.8","7.1","-0.3","","","","100.0","0.10","0.1","2.3","2.7","0.2","0.11","2.7"
"52","Jaylen Wright","MIA","RB","10","2025","3","100.0","-3.5","-7","175.0","2","0.2","66.7","0.67","1","50.0","13","1.3","68.4","4.33","6.50","13.00","15","15.00","1","1.00","0","0.0","0","0","0","0","1","50.0","0","","0","0.000","1","50.0","2","100.0","1","50.0","1","0","0.0","0","70.8","66.7","0.5","","","","100.0","0.77","0.2","2.3","2.8","0.3","0.92","2.8"
"53","Jaylen Warren","PIT","RB","16","2025","13","43.3","2.5","5","1.5","2","0.1","7.1","0.15","2","100.0","13","0.8","5.8","1.00","6.50","6.50","8","4.00","6","3.00","0","0.0","0","0","0","0","1","4.5","2","1.00","1","0.077","0","","2","100.0","0","","0","0","0.0","0","93.8","7.4","0.0","","","","100.0","0.25","0.2","3.3","2.8","0.2","0.22","2.8"
"54","Daniel Bellinger","NYG","TE","16","2025","5","71.4","7.5","15","21.4","2","0.1","40.0","0.40","1","50.0","12","0.8","41.4","2.40","6.00","12.00","8","8.00","2","2.00","0","0.0","0","0","0","0","0","0.0","0","","1","0.200","0","","1","50.0","0","","0","0","0.0","0","68.8","40.0","-1.4","","","","100.0","0.44","0.1","2.2","3.0","0.2","0.59","3.0"
"55","Phil Mafah","DAL","RB","1","2025","1","50.0","-6.0","-6","85.7","1","1.0","50.0","1.00","1","100.0","10","10.0","47.6","10.00","10.00","10.00","16","16.00","4","4.00","0","0.0","0","0","0","0","1","50.0","1","1.00","1","1.000","0","","1","100.0","1","100.0","0","0","0.0","0","108.3","50.0","4.9","","","","100.0","2.00","2.0","2.0","1.0","1.0","0.95","1.0"
"56","Jacory Croskey-Merritt","WAS","RB","17","2025","19","59.4","-2.0","-6","-2.8","3","0.2","11.5","0.16","2","66.7","10","0.6","3.7","0.53","3.33","5.00","18","9.00","5","2.50","0","0.0","1","0","0","0","2","11.1","0","","1","0.053","0","","2","66.7","2","66.7","0","0","0.0","0","71.5","13.0","-2.2","","","","100.0","0.16","0.2","3.0","4.4","0.3","0.23","4.4"
"57","Bhayshul Tuten","JAX","RB","15","2025","8","66.7","-2.0","-4","-3.5","2","0.1","16.7","0.25","2","100.0","10","0.7","12.5","1.25","5.00","5.00","14","7.00","","","1","50.0","1","0","0","0","1","14.3","2","1.00","1","0.125","0","","2","100.0","1","50.0","0","0","0.0","0","127.1","18.2","-0.7","","","","100.0","1.13","0.6","9.0","2.4","0.2","0.30","2.4"
"58","Isaiah Davis","NYJ","RB","16","2025","19","55.9","3.5","7","2.3","2","0.1","7.1","0.11","1","50.0","9","0.6","6.6","0.47","4.50","9.00","6","6.00","1","1.00","0","0.0","1","0","0","0","0","0.0","0","","0","0.000","1","50.0","2","100.0","0","","0","0","0.0","0","62.5","7.4","-2.1","","","","100.0","0.10","0.1","1.9","3.1","0.2","0.16","3.1"
"59","Noah Gray","KC","TE","16","2025","1","100.0","-1.0","-1","100.0","1","0.1","100.0","1.00","1","100.0","8","0.5","100.0","8.00","8.00","8.00","9","9.00","5","5.00","0","0.0","0","0","0","0","1","100.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","100.0","100.0","3.1","","","","100.0","1.80","0.1","1.8","1.6","0.1","1.62","1.6"
"60","Isiah Pacheco","KC","RB","13","2025","21","50.0","1.5","3","0.9","2","0.2","5.4","0.10","1","50.0","8","0.6","5.8","0.38","4.00","8.00","8","8.00","","","1","100.0","1","0","0","0","1","3.3","0","","1","0.048","0","","1","50.0","0","","0","0","0.0","0","100.0","5.9","-2.2","","","","100.0","0.37","0.6","7.8","3.2","0.2","0.15","3.2"
"61","Wan'Dale Robinson","NYG","WR","16","2025","3","100.0","-1.5","-3","-25.0","2","0.1","66.7","0.67","1","50.0","7","0.4","100.0","2.33","3.50","7.00","12","12.00","10","10.00","0","0.0","1","0","0","0","2","66.7","1","1.00","1","0.333","0","","1","50.0","1","50.0","0","0","0.0","0","58.3","66.7","-1.2","","","","100.0","0.57","0.1","1.7","4.0","0.3","1.34","4.0"
"62","Rachaad White","TB","RB","17","2025","55","75.3","-2.7","-16","-3.6","6","0.4","9.8","0.11","5","83.3","7","0.4","3.0","0.13","1.17","1.40","33","6.60","12","2.40","0","0.0","3","0","0","0","4","9.5","0","","0","0.000","0","","5","83.3","4","66.7","0","0","0.0","0","79.2","10.5","-4.6","","","","100.0","0.10","0.3","5.7","8.9","0.5","0.16","8.9"
"63","Brashard Smith","KC","RB","17","2025","14","82.4","0.3","1","1.6","4","0.2","30.8","0.29","1","25.0","6","0.4","8.7","0.43","1.50","6.00","3","3.00","1","1.00","0","0.0","2","0","0","0","4","36.4","0","","1","0.071","2","50.0","3","75.0","0","","0","0","0.0","0","39.6","30.8","-4.5","","","","100.0","0.11","0.1","1.6","6.5","0.4","0.47","6.5"
"64","Zavier Scott","MIN","RB","11","2025","5","50.0","-2.5","-5","-6.3","2","0.2","20.0","0.40","2","100.0","6","0.5","14.6","1.20","3.00","3.00","11","5.50","5","2.50","0","0.0","2","0","0","0","1","14.3","0","","1","0.200","0","","2","100.0","0","","0","0","0.0","0","79.2","25.0","-2.8","","","","100.0","0.52","0.2","2.6","3.6","0.3","0.71","3.6"
