"Team Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","",""
"18","Indianapolis Colts","14","2025","Indianapolis","Colts","87","6.6","159","24","0.28","17","70.8","153","10.9","1.76","6.38","9.00","86","5.06","35","2.06","0","7","2","0","4","0.24","6","0.069","0","","19","79.2","7","29.2","3","0","0.0","0","70.3","19","79.2","-1.1","","100.0","",""
"19","Buffalo Bills","15","2025","Buffalo","Bills","101","6.9","158","23","0.23","14","60.9","150","10.0","1.49","6.52","10.71","66","4.71","19","1.36","0","5","1","0","1","0.07","6","0.059","1","4.3","17","73.9","2","8.7","3","1","33.3","0","80.0","18","78.3","-0.8","","100.0","",""
"20","Tampa Bay Buccaneers","16","2025","Tampa Bay","Buccaneers","110","7.0","167","24","0.22","17","70.8","144","9.0","1.31","6.00","8.47","63","3.71","14","0.82","0","3","0","0","1","0.06","6","0.055","1","4.2","18","75.0","2","8.3","4","3","75.0","0","68.8","15","62.5","-0.8","","100.0","",""
"21","Carolina Panthers","14","2025","Carolina","Panthers","64","9.0","153","17","0.27","11","64.7","131","9.4","2.05","7.71","11.91","50","4.55","17","1.55","0","2","1","0","2","0.18","6","0.094","3","17.6","15","88.2","4","23.5","3","2","66.7","0","63.6","14","82.4","0.5","","100.0","",""
"22","Denver Broncos","15","2025","Denver","Broncos","96","8.5","188","22","0.23","12","54.5","130","8.7","1.35","5.91","10.83","60","5.00","14","1.17","1","4","2","1","2","0.17","8","0.083","4","18.2","17","77.3","2","9.1","3","1","33.3","1","87.3","14","63.6","-1.4","","100.0","",""
"23","Minnesota Vikings","13","2025","Minnesota","Vikings","61","3.0","54","18","0.30","15","83.3","123","9.5","2.02","6.83","8.20","89","5.93","25","1.67","0","4","0","0","2","0.13","3","0.049","1","5.6","17","94.4","5","27.8","1","0","0.0","0","95.1","13","72.2","0.5","","100.0","",""
"24","Dallas Cowboys","15","2025","Dallas","Cowboys","84","7.4","148","20","0.24","16","80.0","123","8.2","1.46","6.15","7.69","72","4.50","24","1.50","0","2","1","0","0","","3","0.036","0","","18","90.0","4","20.0","3","1","33.3","0","92.3","15","75.0","-1.3","","100.0","",""
"25","Chicago Bears","15","2025","Chicago","Bears","70","8.7","131","15","0.21","12","80.0","120","8.0","1.71","8.00","10.00","34","2.83","10","0.83","1","1","0","0","0","","5","0.071","1","6.7","13","86.7","1","6.7","1","0","0.0","0","122.2","12","80.0","0.6","","100.0","",""
"26","Los Angeles Rams","16","2025","Los Angeles","Rams","99","6.3","150","24","0.24","17","70.8","113","7.1","1.14","4.71","6.65","58","3.41","22","1.29","0","8","3","0","3","0.18","5","0.051","0","","17","70.8","6","25.0","4","4","100.0","0","80.7","19","79.2","-2.8","","100.0","",""
"27","Baltimore Ravens","16","2025","Baltimore","Ravens","58","6.8","82","12","0.21","11","91.7","111","6.9","1.91","9.25","10.09","33","3.00","10","0.91","1","2","1","1","3","0.27","5","0.086","0","","11","91.7","0","","3","3","100.0","0","133.0","11","91.7","2.2","","100.0","",""
"28","Miami Dolphins","12","2025","Miami","Dolphins","52","8.3","91","11","0.21","7","63.6","101","8.4","1.94","9.18","14.43","63","9.00","25","3.57","2","2","0","0","1","0.14","5","0.096","1","9.1","9","81.8","1","9.1","2","0","0.0","0","95.1","9","81.8","1.4","","100.0","",""
"29","Green Bay Packers","12","2025","Green Bay","Packers","56","5.5","72","13","0.23","11","84.6","93","7.8","1.66","7.15","8.45","46","4.18","11","1.00","1","3","1","1","1","0.09","4","0.071","0","","12","92.3","2","15.4","3","2","66.7","0","122.1","9","69.2","-0.1","","100.0","",""
"30","Cleveland Browns","12","2025","Cleveland","Browns","31","6.3","44","7","0.23","5","71.4","58","4.8","1.87","8.29","11.60","25","5.00","8","1.60","0","1","0","0","0","","3","0.097","0","","5","71.4","1","14.3","1","1","100.0","0","96.1","5","71.4","1.3","","100.0","",""
"31","Philadelphia Eagles","16","2025","Philadelphia","Eagles","96","4.7","121","26","0.27","15","57.7","50","3.1","0.52","1.92","3.33","35","2.33","15","1.00","0","2","1","0","3","0.20","3","0.031","3","11.5","21","80.8","7","26.9","8","4","50.0","0","46.6","22","84.6","-4.9","","100.0","",""
"32","Cincinnati Bengals","12","2025","Cincinnati","Bengals","25","4.9","34","7","0.28","4","57.1","11","0.9","0.44","1.57","2.75","22","5.50","4","1.00","0","1","0","0","1","0.25","0","0.000","1","14.3","5","71.4","3","42.9","0","0","0.0","0","62.2","6","85.7","-5.6","","100.0","",""
