"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"175","Travis Hunter","JAX","WR","7","2025","10","100.0","2.5","5","5.7","2","0.3","20.0","0.20","1","50.0","8","1.1","11.4","0.80","4.00","8.00","5","5.00","4","4.00","0","0.0","0","0","0","0","2","22.2","1","1.00","0","0.000","0","","1","50.0","0","","0","0","0.0","0","60.4","20.0","-1.4","100.0","","","","0.18","0.3","1.8","2.6","0.4","0.26","2.6"
"176","T.J. Hockenson","MIN","TE","15","2025","19","95.0","5.0","5","2.4","1","0.1","5.9","0.05","1","100.0","7","0.5","5.6","0.37","7.00","7.00","2","2.00","1","1.00","0","0.0","0","0","0","0","1","7.1","0","","1","0.053","0","","1","100.0","0","","0","0","0.0","0","95.8","6.3","0.5","100.0","","","","0.09","0.1","1.7","1.5","0.1","0.08","1.5"
"177","Cole Kmet","CHI","TE","16","2025","10","100.0","6.0","6","18.8","1","0.1","11.1","0.10","1","100.0","7","0.4","30.4","0.70","7.00","7.00","1","1.00","","","0","0.0","0","0","0","0","1","14.3","0","","1","0.100","0","","1","100.0","0","","0","0","0.0","0","95.8","14.3","-0.1","100.0","","","","0.17","0.1","1.7","1.4","0.1","0.14","1.4"
"178","Tahj Washington","MIA","WR","6","2025","2","50.0","4.0","4","0.0","1","0.2","33.3","0.50","1","100.0","7","1.2","17.5","3.50","7.00","7.00","3","3.00","2","2.00","0","0.0","1","0","0","0","1","33.3","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","95.8","33.3","1.0","100.0","","","","0.85","0.3","1.7","1.4","0.2","0.72","1.4"
"179","Mason Tipton","NO","WR","13","2025","12","92.3","3.0","3","2.1","1","0.1","9.1","0.08","1","100.0","6","0.5","5.7","0.50","6.00","6.00","3","3.00","","","0","0.0","0","0","0","0","1","11.1","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","91.7","9.1","0.6","100.0","","","","0.13","0.1","1.6","1.6","0.1","0.13","1.6"
"180","Josh Jacobs","GB","RB","15","2025","5","100.0","5.0","5","15.2","1","0.1","20.0","0.20","1","100.0","6","0.4","33.3","1.20","6.00","6.00","1","1.00","1","1.00","0","0.0","0","0","0","0","1","33.3","0","","1","0.200","0","","1","100.0","0","","0","0","0.0","0","91.7","25.0","-1.2","100.0","","","","0.32","0.1","1.6","1.5","0.1","0.29","1.5"
"181","Brandin Cooks","NO, BUF","WR","15","2025","31","91.2","21.7","65","21.2","3","0.2","10.0","0.10","1","33.3","6","0.4","3.5","0.19","2.00","6.00","1","1.00","1","1.00","0","0.0","0","0","0","2","3","13.0","0","","0","0.000","1","33.3","2","66.7","0","","1","0","0.0","0","42.4","10.7","-8.1","100.0","","","","0.05","0.1","1.6","8.0","0.5","0.26","8.0"
"182","Ja'Tavion Sanders","CAR","TE","13","2025","12","100.0","14.0","28","28.3","2","0.2","20.0","0.17","1","50.0","6","0.5","9.1","0.50","3.00","6.00","0","","","","1","100.0","2","2","1","0","0","0.0","2","2.00","1","0.083","0","","1","50.0","0","","0","0","0.0","0","95.8","22.2","-7.3","100.0","","","","0.63","0.6","7.6","6.0","0.5","0.50","6.0"
"183","Alvin Kamara","NO","RB","11","2025","1","100.0","-1.0","-1","100.0","1","0.1","100.0","1.00","1","100.0","6","0.5","100.0","6.00","6.00","6.00","7","7.00","","","0","0.0","0","0","0","0","1","100.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","91.7","100.0","0.2","100.0","","","","1.60","0.1","1.6","1.5","0.1","1.54","1.5"
"184","David Njoku","CLV","TE","12","2025","18","90.0","4.0","4","2.6","1","0.1","5.6","0.06","1","100.0","6","0.5","7.1","0.33","6.00","6.00","2","2.00","2","2.00","0","0.0","0","0","0","0","1","7.7","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","91.7","6.3","-0.1","100.0","","","","0.09","0.1","1.6","1.4","0.1","0.08","1.4"
