"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"43","De'Von Achane","MIA","RB","16","2025","29","139","8.7","4.79","0","0","8","6.9","50","36.0","25.0","","51.7","44.8","3","0.10","50","1.72","36.0","3.07","29","100.0","139","0","4.79","51.7","0","","0","0","","","0.9","13.9","16.3","1.0"
"44","Omarion Hampton","LAC","RB","9","2025","27","67","7.4","2.48","0","0","6","3.7","15","22.4","0.0","","33.3","63.0","1","0.04","41","1.52","61.2","0.96","27","100.0","67","0","2.48","33.3","0","","0","0","","","0.7","6.7","13.1","1.5"
"45","Chris Rodriguez","WAS","RB","13","2025","27","121","9.3","4.48","1","0","9","3.7","20","16.5","20.0","3.7","59.3","33.3","5","0.19","88","3.26","72.7","1.22","27","100.0","121","1","4.48","59.3","0","","0","0","","","1.4","18.1","18.5","1.4"
"46","Rhamondre Stevenson","NE","RB","14","2025","26","119","8.5","4.58","1","0","5","","0","","75.0","3.8","57.7","38.5","9","0.35","65","2.50","54.6","2.08","26","100.0","119","1","4.58","57.7","0","","0","0","","","1.3","17.9","18.9","1.4"
"47","RJ Harvey","DEN","RB","17","2025","23","92","5.4","4.00","2","0","4","4.3","38","41.3","66.7","8.7","34.8","69.6","3","0.13","60","2.61","65.2","1.39","23","100.0","92","2","4.00","34.8","0","","0","0","","","1.2","21.2","15.0","0.9"
"48","TreVeyon Henderson","NE","RB","17","2025","23","59","3.5","2.57","0","0","4","","0","","25.0","","56.5","52.2","4","0.17","39","1.70","66.1","0.87","23","100.0","59","0","2.57","56.5","0","","0","0","","","0.3","5.9","14.7","0.9"
"49","J.K. Dobbins","DEN","RB","10","2025","23","105","10.5","4.57","1","0","5","4.3","19","18.1","0.0","4.3","52.2","52.2","4","0.17","58","2.52","55.2","2.04","23","100.0","105","1","4.57","52.2","0","","0","0","","","1.7","16.5","11.6","1.2"
"50","Malik Davis","DAL","RB","10","2025","22","109","10.9","4.95","2","0","6","4.5","43","39.4","16.7","9.1","59.1","40.9","1","0.05","41","1.86","37.6","3.09","22","100.0","109","2","4.95","59.1","0","","0","0","","","2.3","22.9","13.5","1.4"
"51","Bhayshul Tuten","JAX","RB","15","2025","21","82","5.5","3.90","2","0","7","4.8","15","18.3","100.0","9.5","57.1","38.1","3","0.14","55","2.62","67.1","1.29","21","100.0","82","2","3.90","57.1","0","","0","0","","","1.3","20.2","15.2","1.0"
"52","Audric Estime","NO","RB","6","2025","21","76","12.7","3.62","0","0","6","","0","","0.0","","57.1","38.1","1","0.05","35","1.67","46.1","1.95","21","100.0","76","0","3.62","57.1","0","","0","0","","","1.3","7.6","10.1","1.7"
"53","Michael Carter","ARZ","RB","13","2025","20","91","7.0","4.55","0","0","10","5.0","21","23.1","50.0","","65.0","25.0","0","","39","1.95","42.9","2.60","20","100.0","91","0","4.55","65.0","0","","0","0","","","0.7","9.1","11.0","0.8"
"54","Tank Bigsby","JAX, PHI","RB","16","2025","20","60","3.8","3.00","0","0","3","","0","","20.0","","50.0","55.0","1","0.05","38","1.90","63.3","1.10","20","100.0","60","0","3.00","50.0","0","","0","0","","","0.4","6.0","12.0","0.7"
"55","Jeremy McNichols","WAS","RB","17","2025","19","116","6.8","6.11","1","1","7","10.5","79","68.1","10.0","5.3","42.1","36.8","6","0.32","100","5.26","86.2","0.84","19","100.0","116","1","6.11","42.1","0","","0","0","","","1.0","16.6","10.0","0.6"
"56","Rachaad White","TB","RB","17","2025","18","96","5.6","5.33","0","0","7","5.6","16","16.7","0.0","","50.0","27.8","3","0.17","45","2.50","46.9","2.83","18","100.0","96","0","5.33","50.0","0","","0","0","","","0.6","9.6","8.4","0.5"
"57","Ollie Gordon","MIA","RB","17","2025","17","35","2.1","2.06","1","0","7","","0","","60.0","5.9","58.8","41.2","2","0.12","22","1.29","62.9","0.76","17","100.0","35","1","2.06","58.8","0","","0","0","","","0.6","9.5","12.6","0.7"
"58","Brian Robinson","SF","RB","17","2025","17","51","3.0","3.00","2","0","3","5.9","18","35.3","20.0","11.8","29.4","64.7","2","0.12","38","2.24","74.5","0.76","17","100.0","51","2","3.00","29.4","0","","0","0","","","1.0","17.1","13.7","0.8"
"59","Isaiah Davis","NYJ","RB","16","2025","16","57","3.6","3.56","0","0","2","","0","","0.0","","25.0","43.8","2","0.13","33","2.06","57.9","1.50","16","100.0","57","0","3.56","25.0","0","","0","0","","","0.4","5.7","9.1","0.6"
"60","Jawhar Jordan","HST","RB","4","2025","15","60","15.0","4.00","0","0","4","","0","","33.3","","40.0","60.0","3","0.20","43","2.87","71.7","1.13","15","100.0","60","0","4.00","40.0","0","","0","0","","","1.5","6.0","9.3","2.3"
"61","Kendre Miller","NO","RB","7","2025","15","72","10.3","4.80","0","0","5","","0","","0.0","","66.7","33.3","2","0.13","43","2.87","59.7","1.93","15","100.0","72","0","4.80","66.7","0","","0","0","","","1.0","7.2","7.7","1.1"
"62","Tyjae Spears","TEN","RB","13","2025","14","58","4.5","4.14","0","0","3","","0","","0.0","","50.0","35.7","1","0.07","28","2.00","48.3","2.14","14","100.0","58","0","4.14","50.0","0","","0","0","","","0.4","5.8","8.1","0.6"
"63","Jaylen Wright","MIA","RB","10","2025","14","64","6.4","4.57","1","0","3","","0","","33.3","7.1","57.1","28.6","0","","32","2.29","50.0","2.29","14","100.0","64","1","4.57","57.1","0","","0","0","","","1.2","12.4","9.5","1.0"
"64","Brashard Smith","KC","RB","17","2025","13","39","2.3","3.00","0","0","1","","0","","20.0","","30.8","53.8","0","","23","1.77","59.0","1.23","13","100.0","39","0","3.00","30.8","0","","0","0","","","0.2","3.9","8.1","0.5"
