"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"41","Rhamondre Stevenson","NE","RB","14","2025","6","49","3.5","8.17","1","0","2","16.7","35","71.4","0.0","16.7","33.3","66.7","1","0.17","18","3.00","36.7","5.17","0","","0","0","","","6","100.0","49","1","8.17","33.3","0.8","10.9","2.8","0.2"
"42","Trey Benson","ARZ","RB","4","2025","6","28","7.0","4.67","0","0","1","","0","","0.0","","16.7","66.7","1","0.17","9","1.50","32.1","3.17","0","","0","0","","","6","100.0","28","0","4.67","16.7","0.7","2.8","2.9","0.7"
"43","Keaton Mitchell","BLT","RB","13","2025","6","44","3.4","7.33","0","0","3","16.7","15","34.1","0.0","","83.3","33.3","1","0.17","4","0.67","9.1","6.67","0","","0","0","","","6","100.0","44","0","7.33","83.3","0.3","4.4","3.1","0.2"
"44","Kyren Williams","LA","RB","17","2025","6","26","1.5","4.33","0","0","1","","0","","0.0","","50.0","50.0","0","","19","3.17","73.1","1.17","0","","0","0","","","6","100.0","26","0","4.33","50.0","0.2","2.6","3.1","0.2"
"45","Kyle Monangai","CHI","RB","17","2025","6","30","1.8","5.00","1","0","2","16.7","15","50.0","100.0","16.7","50.0","33.3","0","","10","1.67","33.3","3.33","0","","0","0","","","6","100.0","30","1","5.00","50.0","0.5","9.0","5.6","0.3"
"46","Miles Sanders","DAL","RB","4","2025","5","22","5.5","4.40","0","0","2","","0","","0.0","","60.0","40.0","2","0.40","14","2.80","63.6","1.60","0","","0","0","","","5","100.0","22","0","4.40","60.0","0.6","2.2","2.4","0.6"
"47","Jeremy McNichols","WAS","RB","17","2025","5","20","1.2","4.00","0","0","1","","0","","0.0","","60.0","40.0","2","0.40","13","2.60","65.0","1.40","0","","0","0","","","5","100.0","20","0","4.00","60.0","0.1","2.0","3.1","0.2"
"48","Bijan Robinson","ATL","RB","17","2025","5","20","1.2","4.00","0","0","0","","0","","0.0","","60.0","20.0","0","","9","1.80","45.0","2.20","0","","0","0","","","5","100.0","20","0","4.00","60.0","0.1","2.0","2.2","0.1"
"49","Ray Davis","BUF","RB","17","2025","5","18","1.1","3.60","0","0","0","","0","","0.0","","40.0","60.0","0","","7","1.40","38.9","2.20","0","","0","0","","","5","100.0","18","0","3.60","40.0","0.1","1.8","2.3","0.1"
"50","Breece Hall","NYJ","RB","16","2025","5","13","0.8","2.60","0","0","2","","0","","0.0","","40.0","60.0","0","","10","2.00","76.9","0.60","0","","0","0","","","5","100.0","13","0","2.60","40.0","0.1","1.3","2.8","0.2"
"51","Aaron Jones","MIN","RB","12","2025","4","16","1.3","4.00","0","0","0","","0","","0.0","","50.0","50.0","0","","7","1.75","43.8","2.25","0","","0","0","","","4","100.0","16","0","4.00","50.0","0.1","1.6","2.1","0.2"
"52","Kendre Miller","NO","RB","7","2025","4","18","2.6","4.50","0","0","0","","0","","0.0","","50.0","50.0","2","0.50","8","2.00","44.4","2.50","0","","0","0","","","4","100.0","18","0","4.50","50.0","0.3","1.8","1.9","0.3"
"53","Brian Robinson","SF","RB","17","2025","4","9","0.5","2.25","0","0","1","","0","","0.0","","50.0","75.0","2","0.50","14","3.50","155.6","-1.25","0","","0","0","","","4","100.0","9","0","2.25","50.0","0.1","0.9","2.2","0.1"
"54","AJ Dillon","PHI","RB","7","2025","4","23","3.3","5.75","0","0","1","","0","","0.0","","50.0","50.0","0","","12","3.00","52.2","2.75","0","","0","0","","","4","100.0","23","0","5.75","50.0","0.3","2.3","1.9","0.3"
"55","J.K. Dobbins","DEN","RB","10","2025","4","8","0.8","2.00","0","0","0","","0","","0.0","","25.0","50.0","1","0.25","7","1.75","87.5","0.25","0","","0","0","","","4","100.0","8","0","2.00","25.0","0.1","0.8","1.9","0.2"
"56","Austin Ekeler","WAS","RB","2","2025","4","13","6.5","3.25","0","0","0","","0","","0.0","","50.0","50.0","0","","9","2.25","69.2","1.00","0","","0","0","","","4","100.0","13","0","3.25","50.0","0.7","1.3","1.8","0.9"
"57","Woody Marks","HST","RB","16","2025","4","0","0.0","","0","0","0","","0","","50.0","","25.0","100.0","0","","1","0.25","","-0.25","0","","0","0","","","4","100.0","0","0","","25.0","","0.0","3.2","0.2"
"58","Jordan Mason","MIN","RB","16","2025","4","29","1.8","7.25","0","0","1","25.0","18","62.1","0.0","","50.0","25.0","0","","5","1.25","17.2","6.00","0","","0","0","","","4","100.0","29","0","7.25","50.0","0.2","2.9","2.0","0.1"
"59","RJ Harvey","DEN","RB","17","2025","3","16","0.9","5.33","0","0","0","","0","","0.0","","66.7","33.3","1","0.33","12","4.00","75.0","1.33","0","","0","0","","","3","100.0","16","0","5.33","66.7","0.1","1.6","1.8","0.1"
"60","Clyde Edwards-Helaire","KC","RB","2","2025","3","7","3.5","2.33","0","0","1","","0","","0.0","","33.3","33.3","0","","5","1.67","71.4","0.67","0","","0","0","","","3","100.0","7","0","2.33","33.3","0.4","0.7","1.3","0.7"
"61","Tyler Allgeier","ATL","RB","17","2025","3","11","0.6","3.67","0","0","1","","0","","0.0","","66.7","33.3","0","","5","1.67","45.5","2.00","0","","0","0","","","3","100.0","11","0","3.67","66.7","0.1","1.1","1.5","0.1"
"62","Jaydon Blue","DAL","RB","5","2025","3","36","7.2","12.00","0","0","1","33.3","27","75.0","0.0","","66.7","","1","0.33","10","3.33","27.8","8.67","0","","0","0","","","3","100.0","36","0","12.00","66.7","0.7","3.6","2.5","0.5"
"63","Evan Hull","NO","RB","6","2025","3","12","2.0","4.00","0","0","0","","0","","0.0","","66.7","33.3","0","","1","0.33","8.3","3.67","0","","0","0","","","3","100.0","12","0","4.00","66.7","0.2","1.2","1.4","0.2"
"64","Nick Chubb","HST","RB","15","2025","3","-3","-0.2","-1.00","0","0","0","","0","","0.0","","","100.0","0","","2","0.67","-66.7","-1.67","0","","0","0","","","3","100.0","-3","0","-1.00","","0.0","-0.3","3.5","0.2"
"65","Jaylen Wright","MIA","RB","10","2025","3","23","2.3","7.67","0","0","1","33.3","18","78.3","0.0","","66.7","33.3","3","1.00","24","8.00","104.3","-0.33","0","","0","0","","","3","100.0","23","0","7.67","66.7","0.2","2.3","1.4","0.1"
"66","Tyjae Spears","TEN","RB","13","2025","3","2","0.2","0.67","0","0","0","","0","","0.0","","","100.0","0","","5","1.67","250.0","-1.00","0","","0","0","","","3","100.0","2","0","0.67","","0.0","0.2","1.9","0.1"
"67","Cam Skattebo","NYG","RB","8","2025","3","39","4.9","13.00","0","0","2","33.3","24","61.5","0.0","","100.0","","1","0.33","17","5.67","43.6","7.33","0","","0","0","","","3","100.0","39","0","13.00","100.0","0.5","3.9","1.4","0.2"
"68","Malik Davis","DAL","RB","10","2025","2","13","1.3","6.50","0","0","1","","0","","0.0","","100.0","","0","","4","2.00","30.8","4.50","0","","0","0","","","2","100.0","13","0","6.50","100.0","0.1","1.3","0.8","0.1"
"69","Isaiah Davis","NYJ","RB","16","2025","2","11","0.7","5.50","0","0","0","","0","","0.0","","","50.0","0","","6","3.00","54.5","2.50","0","","0","0","","","2","100.0","11","0","5.50","","0.1","1.1","1.4","0.1"
