"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"35","Tyrone Tracy","NYG","RB","15","2025","29","149","9.9","5.14","2","0","8","3.4","31","20.8","0.0","6.9","65.5","27.6","3","0.10","45","1.55","30.2","3.59","0","","0","0","","","29","100.0","149","2","5.14","65.5","1.8","26.9","15.0","1.0"
"36","Tyler Allgeier","ATL","RB","17","2025","29","88","5.2","3.03","2","0","6","3.4","15","17.0","75.0","6.9","44.8","51.7","3","0.10","47","1.62","53.4","1.41","0","","0","0","","","29","100.0","88","2","3.03","44.8","1.2","20.8","17.9","1.1"
"37","Chuba Hubbard","CAR","RB","15","2025","29","111","7.4","3.83","0","1","4","","0","","0.0","","62.1","27.6","1","0.03","59","2.03","53.2","1.79","0","","0","0","","","29","100.0","111","0","3.83","62.1","0.7","10.1","16.4","1.1"
"38","Derrick Henry","BLT","RB","17","2025","28","110","6.5","3.93","2","0","6","3.6","17","15.5","83.3","7.1","53.6","42.9","2","0.07","52","1.86","47.3","2.07","0","","0","0","","","28","100.0","110","2","3.93","53.6","1.4","23.0","22.8","1.3"
"39","De'Von Achane","MIA","RB","16","2025","28","188","11.8","6.71","2","0","8","7.1","107","56.9","0.0","7.1","42.9","46.4","7","0.25","142","5.07","75.5","1.64","0","","0","0","","","28","100.0","188","2","6.71","42.9","1.9","30.8","14.6","0.9"
"40","Zach Charbonnet","SEA","RB","16","2025","26","116","7.3","4.46","0","0","7","3.8","27","23.3","50.0","","61.5","38.5","2","0.08","63","2.42","54.3","2.04","0","","0","0","","","26","100.0","116","0","4.46","61.5","0.7","11.6","17.1","1.1"
"41","Rachaad White","TB","RB","17","2025","26","117","6.9","4.50","2","0","7","3.8","39","33.3","50.0","7.7","57.7","38.5","3","0.12","43","1.65","36.8","2.85","0","","0","0","","","26","100.0","117","2","4.50","57.7","1.4","23.7","23.1","1.4"
"42","Ollie Gordon","MIA","RB","17","2025","24","81","4.8","3.38","2","0","10","8.3","36","44.4","75.0","8.3","50.0","50.0","2","0.08","59","2.46","72.8","0.92","0","","0","0","","","24","100.0","81","2","3.38","50.0","1.2","20.1","19.6","1.2"
"43","Devin Singletary","NYG","RB","17","2025","23","79","4.6","3.43","2","0","6","","0","","33.3","8.7","43.5","47.8","4","0.17","43","1.87","54.4","1.57","0","","0","0","","","23","100.0","79","2","3.43","43.5","1.2","19.9","14.6","0.9"
"44","Alvin Kamara","NO","RB","11","2025","21","53","4.8","2.52","0","0","5","","0","","0.0","","47.6","47.6","2","0.10","26","1.24","49.1","1.29","0","","0","0","","","21","100.0","53","0","2.52","47.6","0.5","5.3","10.8","1.0"
"45","Sean Tucker","TB","RB","17","2025","21","68","4.0","3.24","2","0","9","4.8","18","26.5","50.0","9.5","52.4","47.6","3","0.14","39","1.86","57.4","1.38","0","","0","0","","","21","100.0","68","2","3.24","52.4","1.1","18.8","24.5","1.4"
"46","Javonte Williams","DAL","RB","16","2025","21","71","4.4","3.38","0","0","7","4.8","17","23.9","100.0","","52.4","42.9","4","0.19","59","2.81","83.1","0.57","0","","0","0","","","21","100.0","71","0","3.38","52.4","0.4","7.1","12.6","0.8"
"47","Kareem Hunt","KC","RB","17","2025","20","52","3.1","2.60","1","0","10","","0","","83.3","5.0","60.0","40.0","1","0.05","31","1.55","59.6","1.05","0","","0","0","","","20","100.0","52","1","2.60","60.0","0.7","11.2","17.2","1.0"
"48","Ray Davis","BUF","RB","17","2025","18","79","4.6","4.39","0","0","5","5.6","17","21.5","12.5","","61.1","38.9","1","0.06","38","2.11","48.1","2.28","0","","0","0","","","18","100.0","79","0","4.39","61.1","0.5","7.9","12.3","0.7"
"49","Cam Skattebo","NYG","RB","8","2025","17","47","5.9","2.76","3","0","5","","0","","100.0","17.6","52.9","35.3","3","0.18","30","1.76","63.8","1.00","0","","0","0","","","17","100.0","47","3","2.76","52.9","2.8","22.7","18.8","2.4"
"50","Michael Carter","ARZ","RB","13","2025","16","36","2.8","2.25","0","0","3","","0","","0.0","","37.5","62.5","0","","16","1.00","44.4","1.25","0","","0","0","","","16","100.0","36","0","2.25","37.5","0.3","3.6","11.0","0.8"
"51","Bhayshul Tuten","JAX","RB","15","2025","14","38","2.5","2.71","0","0","3","","0","","11.1","","42.9","57.1","3","0.21","33","2.36","86.8","0.36","0","","0","0","","","14","100.0","38","0","2.71","42.9","0.3","3.8","10.8","0.7"
"52","Terrell Jennings","NE","RB","6","2025","14","47","7.8","3.36","1","0","5","","0","","33.3","7.1","50.0","50.0","0","","22","1.57","46.8","1.79","0","","0","0","","","14","100.0","47","1","3.36","50.0","1.8","10.7","7.8","1.3"
"53","Tank Bigsby","PHI, JAX","RB","16","2025","13","85","5.3","6.54","0","0","4","15.4","35","41.2","40.0","","53.8","30.8","5","0.38","51","3.92","60.0","2.62","0","","0","0","","","13","100.0","85","0","6.54","53.8","0.5","8.5","11.8","0.7"
"54","Jaylen Wright","MIA","RB","10","2025","13","88","8.8","6.77","1","0","7","7.7","32","36.4","25.0","7.7","69.2","30.8","3","0.23","44","3.38","50.0","3.38","0","","0","0","","","13","100.0","88","1","6.77","69.2","1.5","14.8","8.7","0.9"
"55","Kenneth Gainwell","PIT","RB","17","2025","13","55","3.2","4.23","0","0","3","","0","","20.0","","61.5","30.8","4","0.31","20","1.54","36.4","2.69","0","","0","0","","","13","100.0","55","0","4.23","61.5","0.3","5.5","8.3","0.5"
"56","James Conner","ARZ","RB","3","2025","12","34","11.3","2.83","0","0","4","","0","","33.3","","50.0","41.7","1","0.08","19","1.58","55.9","1.25","0","","0","0","","","12","100.0","34","0","2.83","50.0","1.1","3.4","9.0","3.0"
"57","Brian Robinson","SF","RB","17","2025","12","32","1.9","2.67","0","0","5","","0","","0.0","","58.3","41.7","1","0.08","15","1.25","46.9","1.42","0","","0","0","","","12","100.0","32","0","2.67","58.3","0.2","3.2","5.4","0.3"
"58","Kimani Vidal","LAC","RB","13","2025","12","34","2.6","2.83","0","0","1","","0","","100.0","","41.7","66.7","0","","17","1.42","50.0","1.42","0","","0","0","","","12","100.0","34","0","2.83","41.7","0.3","3.4","7.8","0.6"
"59","Jawhar Jordan","HST","RB","4","2025","11","39","9.8","3.55","0","0","1","","0","","0.0","","45.5","54.5","2","0.18","33","3.00","84.6","0.55","0","","0","0","","","11","100.0","39","0","3.55","45.5","1.0","3.9","5.4","1.4"
"60","Tyjae Spears","TEN","RB","13","2025","10","31","2.4","3.10","0","0","1","","0","","0.0","","20.0","60.0","0","","13","1.30","41.9","1.80","0","","0","0","","","10","100.0","31","0","3.10","20.0","0.2","3.1","5.4","0.4"
"61","Omarion Hampton","LAC","RB","9","2025","10","43","4.8","4.30","0","0","3","10.0","18","41.9","100.0","","70.0","40.0","4","0.40","37","3.70","86.0","0.60","0","","0","0","","","10","100.0","43","0","4.30","70.0","0.5","4.3","8.6","1.0"
"62","Zavier Scott","MIN","RB","11","2025","10","56","5.1","5.60","0","0","4","","0","","0.0","","80.0","10.0","3","0.30","34","3.40","60.7","2.20","0","","0","0","","","10","100.0","56","0","5.60","80.0","0.5","5.6","5.0","0.5"
"63","Jeremy McNichols","WAS","RB","17","2025","10","37","2.2","3.70","0","0","3","","0","","0.0","","40.0","60.0","0","","20","2.00","54.1","1.70","0","","0","0","","","10","100.0","37","0","3.70","40.0","0.2","3.7","6.0","0.4"
"64","Bam Knight","ARZ","RB","12","2025","10","39","3.3","3.90","0","1","1","10.0","16","41.0","50.0","","40.0","60.0","3","0.30","23","2.30","59.0","1.60","0","","0","0","","","10","100.0","39","0","3.90","40.0","0.2","2.9","9.5","0.8"
"65","Ty Johnson","BUF","RB","17","2025","9","27","1.6","3.00","1","0","3","","0","","12.5","11.1","44.4","44.4","3","0.33","14","1.56","51.9","1.44","0","","0","0","","","9","100.0","27","1","3.00","44.4","0.5","8.7","7.7","0.5"
"66","Dylan Sampson","CLV","RB","15","2025","8","16","1.1","2.00","0","0","0","","0","","0.0","","12.5","62.5","2","0.25","17","2.13","106.3","-0.13","0","","0","0","","","8","100.0","16","0","2.00","12.5","0.1","1.6","3.7","0.2"
"67","Antonio Gibson","NE","RB","5","2025","7","30","6.0","4.29","1","0","2","","0","","33.3","14.3","57.1","42.9","0","","15","2.14","50.0","2.14","0","","0","0","","","7","100.0","30","1","4.29","57.1","1.8","9.0","6.2","1.2"
"68","DJ Giddens","IND","RB","9","2025","7","13","1.4","1.86","0","0","1","","0","","25.0","","14.3","71.4","0","","14","2.00","107.7","-0.14","0","","0","0","","","7","100.0","13","0","1.86","14.3","0.1","1.3","5.8","0.6"
"69","Trevor Etienne","CAR","RB","17","2025","7","23","1.4","3.29","0","0","2","","0","","20.0","","42.9","57.1","1","0.14","11","1.57","47.8","1.71","0","","0","0","","","7","100.0","23","0","3.29","42.9","0.1","2.3","6.4","0.4"
"70","Jaleel McLaughlin","DEN","RB","8","2025","7","42","5.3","6.00","0","0","2","","0","","0.0","","57.1","42.9","0","","15","2.14","35.7","3.86","0","","0","0","","","7","100.0","42","0","6.00","57.1","0.5","4.2","3.3","0.4"
"71","Trey Benson","ARZ","RB","4","2025","7","39","9.8","5.57","0","0","2","14.3","29","74.4","33.3","","57.1","42.9","4","0.57","37","5.29","94.9","0.29","0","","0","0","","","7","100.0","39","0","5.57","57.1","1.0","3.9","6.0","1.5"
"72","Chris Brooks","GB","RB","17","2025","7","26","1.5","3.71","0","0","2","","0","","0.0","","28.6","42.9","0","","18","2.57","69.2","1.14","0","","0","0","","","7","100.0","26","0","3.71","28.6","0.2","2.6","3.1","0.2"
"73","Kendre Miller","NO","RB","7","2025","7","26","3.7","3.71","1","0","1","14.3","18","69.2","0.0","14.3","14.3","71.4","3","0.43","8","1.14","30.8","2.57","0","","0","0","","","7","100.0","26","1","3.71","14.3","1.2","8.6","3.9","0.6"
"74","Isaiah Davis","NYJ","RB","16","2025","7","20","1.3","2.86","0","0","1","","0","","0.0","","42.9","57.1","0","","11","1.57","55.0","1.29","0","","0","0","","","7","100.0","20","0","2.86","42.9","0.1","2.0","4.7","0.3"
"75","Ronnie Rivers","LA","RB","7","2025","6","33","4.7","5.50","0","0","2","","0","","0.0","","83.3","16.7","0","","15","2.50","45.5","3.00","0","","0","0","","","6","100.0","33","0","5.50","83.3","0.5","3.3","2.9","0.4"
"76","Raheim Sanders","CLV","RB","4","2025","6","10","2.5","1.67","0","0","1","","0","","0.0","","33.3","66.7","0","","9","1.50","90.0","0.17","0","","0","0","","","6","100.0","10","0","1.67","33.3","0.3","1.0","2.7","0.7"
"77","Jerome Ford","CLV","RB","13","2025","6","25","1.9","4.17","0","0","1","","0","","20.0","","83.3","33.3","1","0.17","21","3.50","84.0","0.67","0","","0","0","","","6","100.0","25","0","4.17","83.3","0.2","2.5","4.1","0.3"
"78","Dameon Pierce","HST, KC","RB","5","2025","5","9","1.8","1.80","0","0","0","","0","","0.0","","20.0","80.0","0","","7","1.40","77.8","0.40","0","","0","0","","","5","100.0","9","0","1.80","20.0","0.2","0.9","2.6","0.5"
"79","Jaret Patterson","LAC","RB","6","2025","5","39","6.5","7.80","0","0","2","","0","","0.0","","80.0","20.0","1","0.20","20","4.00","51.3","3.80","0","","0","0","","","5","100.0","39","0","7.80","80.0","0.7","3.9","3.2","0.5"
"80","Isiah Pacheco","KC","RB","13","2025","5","29","2.2","5.80","0","0","2","","0","","0.0","","80.0","20.0","0","","6","1.20","20.7","4.60","0","","0","0","","","5","100.0","29","0","5.80","80.0","0.2","2.9","2.4","0.2"
"81","LeQuint Allen","JAX","RB","17","2025","5","18","1.1","3.60","0","0","1","","0","","0.0","","20.0","80.0","2","0.40","7","1.40","38.9","2.20","0","","0","0","","","5","100.0","18","0","3.60","20.0","0.1","1.8","1.8","0.1"
"82","Malik Davis","DAL","RB","10","2025","5","15","1.5","3.00","0","0","0","","0","","0.0","","40.0","40.0","0","","11","2.20","73.3","0.80","0","","0","0","","","5","100.0","15","0","3.00","40.0","0.2","1.5","2.8","0.3"
"83","Kene Nwangwu","NYJ","RB","10","2025","5","12","1.2","2.40","0","0","0","","0","","100.0","","20.0","60.0","1","0.20","13","2.60","108.3","-0.20","0","","0","0","","","5","100.0","12","0","2.40","20.0","0.1","1.2","5.2","0.5"
"84","Justice Hill","BLT","RB","10","2025","4","18","1.8","4.50","1","0","2","","0","","25.0","25.0","100.0","","0","","11","2.75","61.1","1.75","0","","0","0","","","4","100.0","18","1","4.50","100.0","0.8","7.8","4.6","0.5"
