"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"35","Trey Lance","LAC","QB","4","2025","7","75","18.8","10.71","0","0","3","28.6","37","49.3","0.0","","57.1","14.3","0","","11","1.57","14.7","0.00","0","","0","0","","","0","","0","0","","","1.9","7.5","3.1","0.8"
"36","Aaron Rodgers","PIT","QB","16","2025","12","68","4.3","5.67","1","1","4","8.3","20","29.4","100.0","8.3","50.0","25.0","0","","11","0.92","16.2","0.00","0","","0","0","","","0","","0","0","","","0.8","12.8","11.0","0.7"
"37","Malik Willis","GB","QB","4","2025","9","67","16.8","7.44","1","0","4","","0","","0.0","11.1","88.9","11.1","1","0.11","9","1.00","13.4","0.00","0","","0","0","","","0","","0","0","","","3.2","12.7","6.4","1.6"
"38","Davis Mills","HST","QB","6","2025","7","58","9.7","8.29","1","0","2","","0","","0.0","14.3","57.1","","0","","9","1.29","15.5","0.00","0","","0","0","","","0","","0","0","","","2.0","11.8","3.4","0.6"
"39","Carson Wentz","MIN","QB","5","2025","9","57","11.4","6.33","0","0","3","11.1","16","28.1","0.0","","33.3","33.3","3","0.33","21","2.33","36.8","0.00","0","","0","0","","","0","","0","0","","","1.1","5.7","9.1","1.8"
"40","Mac Jones","SF","QB","11","2025","8","55","5.0","6.88","0","0","1","","0","","100.0","","62.5","25.0","1","0.13","4","0.50","7.3","0.00","0","","0","0","","","0","","0","0","","","0.5","5.5","5.8","0.5"
"41","Josh Johnson","WAS","QB","5","2025","8","54","10.8","6.75","1","0","4","","0","","100.0","12.5","62.5","","2","0.25","19","2.38","35.2","0.00","0","","0","0","","","0","","0","0","","","2.3","11.4","6.1","1.2"
"42","Jared Goff","DET","QB","17","2025","5","48","2.8","9.60","0","0","2","20.0","24","50.0","0.0","","80.0","","0","","0","","","0.00","0","","0","0","","","0","","0","0","","","0.3","4.8","3.0","0.2"
"43","Brady Cook","NYJ","QB","5","2025","7","44","8.8","6.29","0","0","1","","0","","0.0","","42.9","28.6","0","","3","0.43","6.8","0.00","0","","0","0","","","0","","0","0","","","0.9","4.4","3.9","0.8"
"44","Tua Tagovailoa","MIA","QB","14","2025","11","44","3.1","4.00","0","0","1","","0","","0.0","","27.3","27.3","0","","0","","","0.00","0","","0","0","","","0","","0","0","","","0.3","4.4","4.8","0.3"
"45","Jake Browning","CIN","QB","5","2025","4","31","6.2","7.75","0","0","2","","0","","0.0","","50.0","","1","0.25","8","2.00","25.8","0.00","0","","0","0","","","0","","0","0","","","0.6","3.1","1.5","0.3"
"46","Joe Flacco","CLV, CIN","QB","13","2025","4","30","2.3","7.50","0","0","3","","0","","0.0","","75.0","","0","","1","0.25","3.3","0.00","0","","0","0","","","0","","0","0","","","0.2","3.0","3.9","0.3"
"47","Riley Leonard","IND","QB","5","2025","3","26","5.2","8.67","1","0","3","","0","","0.0","33.3","100.0","","0","","0","","","0.00","0","","0","0","","","0","","0","0","","","1.7","8.6","2.3","0.5"
