"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"25","Mike Gesicki","CIN","TE","13","2025","9","100.0","6.0","18","128.6","3","0.2","42.9","0.33","2","66.7","14","1.1","32.6","1.56","4.67","7.00","4","2.00","1","0.50","0","0.0","0","0","0","0","2","66.7","0","","1","0.111","0","","2","66.7","0","","1","1","100.0","1","77.1","42.9","-3.4","","100.0","","","0.38","0.3","3.4","5.9","0.5","0.65","5.9"
"26","Isaiah Williams","NYJ","WR","15","2025","2","100.0","7.5","15","100.0","2","0.1","100.0","1.00","1","50.0","14","0.9","100.0","7.00","7.00","14.00","5","5.00","","","0","0.0","0","0","0","0","1","100.0","0","","1","0.500","0","","1","50.0","0","","0","0","0.0","0","72.9","100.0","-0.2","","100.0","","","1.20","0.2","2.4","3.2","0.2","1.61","3.2"
"27","Mark Andrews","BLT","TE","17","2025","1","100.0","14.0","14","100.0","1","0.1","100.0","1.00","1","100.0","14","0.8","100.0","14.00","14.00","14.00","0","","","","1","100.0","1","1","1","0","1","100.0","0","","1","1.000","0","","1","100.0","0","","1","1","100.0","0","158.3","100.0","3.7","","100.0","","","8.40","0.5","8.4","2.3","0.1","2.33","2.3"
"28","Marquise Brown","KC","WR","16","2025","5","100.0","6.0","6","120.0","1","0.1","25.0","0.20","1","100.0","13","0.8","81.3","2.60","13.00","13.00","7","7.00","2","2.00","0","0.0","0","0","0","0","1","50.0","0","","1","0.200","0","","1","100.0","0","","0","0","0.0","0","118.8","50.0","6.1","","100.0","","","0.46","0.1","2.3","1.3","0.1","0.26","1.3"
"29","Hunter Henry","NE","TE","17","2025","8","88.9","9.0","18","27.3","2","0.1","25.0","0.25","1","50.0","12","0.7","18.2","1.50","6.00","12.00","6","6.00","6","6.00","0","0.0","0","0","0","0","1","25.0","0","","1","0.125","1","50.0","2","100.0","0","","1","1","100.0","0","68.8","25.0","-1.9","","100.0","","","0.28","0.1","2.2","3.1","0.2","0.38","3.1"
"30","Harold Fannin","CLV","TE","16","2025","10","83.3","12.0","12","150.0","1","0.1","14.3","0.10","1","100.0","12","0.8","100.0","1.20","12.00","12.00","0","","","","0","0.0","0","0","0","0","1","25.0","0","","1","0.100","0","","1","100.0","0","","0","0","0.0","0","116.7","16.7","3.3","","100.0","","","0.22","0.1","2.2","2.7","0.2","0.27","2.7"
"31","Amon-Ra St. Brown","DET","WR","17","2025","2","100.0","10.0","10","45.5","1","0.1","50.0","0.50","1","100.0","12","0.7","100.0","6.00","12.00","12.00","2","2.00","","","0","0.0","0","0","0","0","1","50.0","0","","1","0.500","0","","1","100.0","0","","0","0","0.0","0","116.7","50.0","4.5","","100.0","","","1.10","0.1","2.2","1.5","0.1","0.77","1.5"
"32","Luke Schoonmaker","DAL","TE","17","2025","1","100.0","12.0","12","100.0","1","0.1","100.0","1.00","1","100.0","12","0.7","100.0","12.00","12.00","12.00","0","","","","0","0.0","0","0","0","0","1","100.0","0","","1","1.000","0","","1","100.0","0","","1","1","100.0","0","116.7","100.0","3.3","","100.0","","","2.20","0.1","2.2","1.4","0.1","1.44","1.4"
"33","DK Metcalf","PIT","WR","15","2025","5","100.0","10.0","10","38.5","1","0.1","25.0","0.20","1","100.0","11","0.7","28.9","2.20","11.00","11.00","1","1.00","","","0","0.0","0","0","0","0","1","25.0","0","","1","0.200","0","","1","100.0","0","","0","0","0.0","0","112.5","25.0","3.5","","100.0","","","0.42","0.1","2.1","1.5","0.1","0.30","1.5"
"34","Devaughn Vele","NO","WR","13","2025","4","100.0","10.0","10","31.3","1","0.1","33.3","0.25","1","100.0","11","0.8","34.4","2.75","11.00","11.00","1","1.00","","","0","0.0","0","0","0","0","0","0.0","0","","1","0.250","0","","1","100.0","0","","1","1","100.0","0","112.5","33.3","3.5","","100.0","","","0.53","0.2","2.1","1.3","0.1","0.32","1.3"
"35","Brandin Cooks","BUF, NO","WR","15","2025","3","100.0","16.0","32","68.1","2","0.1","66.7","0.67","1","50.0","11","0.7","100.0","3.67","5.50","11.00","0","","","","0","0.0","1","1","0","1","2","66.7","0","","1","0.333","0","","1","50.0","0","","0","0","0.0","0","66.7","66.7","-4.3","","100.0","","","0.70","0.1","2.1","4.3","0.3","1.44","4.3"
"36","Jalen Nailor","MIN","WR","17","2025","12","100.0","11.0","11","39.3","1","0.1","14.3","0.08","1","100.0","11","0.6","34.4","0.92","11.00","11.00","0","","","","0","0.0","0","0","0","0","1","25.0","0","","1","0.083","0","","1","100.0","0","","1","1","100.0","0","112.5","20.0","2.7","","100.0","","","0.18","0.1","2.1","1.7","0.1","0.15","1.7"
"37","Tee Higgins","CIN","WR","15","2025","5","100.0","10.0","10","166.7","1","0.1","20.0","0.20","1","100.0","10","0.7","55.6","2.00","10.00","10.00","0","","","","0","0.0","0","0","0","0","1","33.3","0","","1","0.200","0","","1","100.0","0","","1","1","100.0","0","108.3","25.0","2.5","","100.0","","","0.40","0.1","2.0","1.6","0.1","0.33","1.6"
"38","Jerry Jeudy","CLV","WR","17","2025","2","100.0","9.0","9","100.0","1","0.1","100.0","0.50","1","100.0","9","0.5","100.0","4.50","9.00","9.00","0","","","","0","0.0","0","0","0","0","1","100.0","0","","1","0.500","0","","1","100.0","0","","0","0","0.0","0","104.2","100.0","1.5","","100.0","","","0.95","0.1","1.9","1.4","0.1","0.68","1.4"
