"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"25","Dalton Kincaid","BUF","TE","12","2025","10","66.7","7.5","30","42.3","4","0.3","28.6","0.40","4","100.0","57","4.8","58.8","5.70","14.25","14.25","27","6.75","12","3.00","2","66.7","2","1","1","0","3","27.3","1","0.25","3","0.300","0","","4","100.0","0","","1","1","100.0","0","158.3","30.8","6.7","","100.0","","","2.17","1.8","21.7","6.9","0.6","0.69","6.9"
"26","Jameson Williams","DET","WR","17","2025","16","94.1","8.0","48","35.3","6","0.4","35.3","0.38","4","66.7","55","3.2","45.5","3.44","9.17","13.75","25","6.25","4","1.00","1","50.0","1","0","0","1","4","36.4","0","","2","0.125","1","16.7","5","83.3","3","50.0","0","0","0.0","0","135.4","37.5","1.7","","100.0","","","0.97","0.9","15.5","9.4","0.6","0.58","9.4"
"27","Travis Kelce","KC","TE","17","2025","40","80.0","4.3","34","12.8","8","0.5","18.6","0.20","6","75.0","54","3.2","31.2","1.35","6.75","9.00","25","4.17","9","1.50","0","0.0","0","0","0","0","5","16.1","0","","3","0.075","1","12.5","7","87.5","0","","2","2","100.0","0","92.7","21.1","0.9","","100.0","","","0.29","0.7","11.4","10.1","0.6","0.25","10.1"
"28","Xavier Smith","LA","WR","16","2025","21","91.3","21.3","85","39.7","4","0.3","18.2","0.19","3","75.0","54","3.4","34.0","2.57","13.50","18.00","12","4.00","2","0.67","0","0.0","1","0","0","2","3","33.3","0","","1","0.048","0","","3","75.0","1","25.0","0","0","0.0","0","116.7","22.2","3.4","","100.0","","","0.40","0.5","8.4","10.2","0.6","0.48","10.2"
"29","Kevin Austin","NO","WR","8","2025","12","75.0","5.8","29","26.4","5","0.6","33.3","0.42","3","60.0","54","6.8","30.2","4.50","10.80","18.00","35","11.67","3","1.00","0","0.0","0","0","0","0","5","35.7","0","","2","0.167","1","20.0","5","100.0","1","20.0","1","0","0.0","0","97.1","33.3","3.7","","100.0","","","0.70","1.1","8.4","9.0","1.1","0.75","9.0"
"30","Dante Pettis","NO","WR","8","2025","14","100.0","-3.5","-7","-5.2","2","0.3","14.3","0.14","2","100.0","54","6.8","50.5","3.86","27.00","27.00","61","30.50","14","7.00","0","0.0","0","0","0","0","1","8.3","5","2.50","1","0.071","0","","2","100.0","1","50.0","0","0","0.0","0","118.8","14.3","22.2","","100.0","","","0.46","0.8","6.4","3.2","0.4","0.23","3.2"
"31","Garrett Wilson","NYJ","WR","7","2025","12","100.0","6.4","32","57.1","5","0.7","50.0","0.42","4","80.0","53","7.6","64.6","4.42","10.60","13.25","24","6.00","3","0.75","0","0.0","0","0","0","0","3","75.0","0","","2","0.167","1","20.0","5","100.0","0","","1","0","0.0","0","110.8","50.0","3.9","","100.0","","","0.78","1.3","9.3","7.4","1.1","0.62","7.4"
"32","Calvin Austin","PIT","WR","14","2025","19","100.0","17.5","35","22.9","2","0.1","11.1","0.11","2","100.0","52","3.7","32.1","2.74","26.00","26.00","17","8.50","","","0","0.0","0","0","0","1","2","15.4","0","","2","0.105","0","","2","100.0","0","","0","0","0.0","0","118.8","11.1","15.6","","100.0","","","0.38","0.5","7.2","2.9","0.2","0.15","2.9"
"33","Jaylen Waddle","MIA","WR","16","2025","18","94.7","4.3","26","56.5","6","0.4","40.0","0.33","6","100.0","52","3.3","52.5","2.89","8.67","8.67","26","4.33","4","0.67","0","0.0","2","0","0","0","4","57.1","1","0.17","4","0.222","0","","6","100.0","0","","0","0","0.0","0","102.8","40.0","2.2","","100.0","","","0.62","0.7","11.2","9.1","0.6","0.50","9.1"
"34","Evan Engram","DEN","TE","16","2025","30","90.9","6.0","48","22.3","8","0.5","26.7","0.27","6","75.0","51","3.2","35.2","1.70","6.38","8.50","21","3.50","10","1.67","0","0.0","2","1","0","0","6","30.0","0","","3","0.100","0","","6","75.0","1","12.5","1","1","100.0","0","91.1","29.6","-0.8","","100.0","","","0.37","0.7","11.1","14.1","0.9","0.47","14.1"
"35","DeVonta Smith","PHI","WR","17","2025","52","91.2","6.0","54","16.6","9","0.5","18.8","0.17","6","66.7","51","3.0","14.4","0.98","5.67","8.50","21","3.50","7","1.17","0","0.0","0","0","0","0","5","16.7","0","","3","0.058","0","","8","88.9","1","11.1","2","0","0.0","0","81.3","19.6","-1.2","","100.0","","","0.21","0.7","11.1","16.8","1.0","0.32","16.8"
"36","Deebo Samuel","WAS","WR","16","2025","35","100.0","0.9","7","4.8","8","0.5","30.8","0.23","6","75.0","51","3.2","23.5","1.46","6.38","8.50","51","8.50","11","1.83","1","100.0","2","0","0","0","6","35.3","1","0.17","2","0.057","2","25.0","8","100.0","4","50.0","0","0","0.0","0","91.1","33.3","0.7","","100.0","","","0.49","1.1","17.1","14.4","0.9","0.41","14.4"
"37","Rome Odunze","CHI","WR","12","2025","14","87.5","20.4","102","71.3","5","0.4","35.7","0.36","3","60.0","50","4.2","62.5","3.57","10.00","16.67","15","5.00","4","1.33","0","0.0","0","0","0","1","5","45.5","0","","3","0.214","0","","4","80.0","0","","2","0","0.0","0","93.8","38.5","-0.5","","100.0","","","0.57","0.7","8.0","9.2","0.8","0.66","9.2"
"38","Chris Olave","NO","WR","16","2025","52","92.9","10.0","100","25.1","10","0.6","20.4","0.19","6","60.0","49","3.1","12.1","0.94","4.90","8.17","22","3.67","1","0.17","1","100.0","1","2","1","1","9","24.3","1","0.17","2","0.038","0","","6","60.0","1","10.0","0","0","0.0","0","66.3","20.4","-2.9","","100.0","","","0.33","1.1","16.9","20.2","1.3","0.39","20.2"
